data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_fluminense,rodada,competicao
2025-09-28,Fluminense,Fluminense,2-0,Botafogo,Botafogo,V,R25,Brasileirão 2025
2025-04-26,Botafogo,Botafogo,2-0,Fluminense,Fluminense,D,R6,Brasileirão 2025
2025-01-29,Botafogo,Botafogo,2-1,Fluminense,Fluminense,D,,Carioca 2025
2024-09-21,Fluminense,Fluminense,0-1,Botafogo,Botafogo,D,R27,Brasileirão 2024
2024-06-11,Botafogo,Botafogo,1-0,Fluminense,Fluminense,D,R8,Brasileirão 2024
2024-03-03,Fluminense,Fluminense,2-4,Botafogo,Botafogo,D,,Carioca 2024
2023-10-08,Fluminense,Fluminense,0-2,Botafogo,Botafogo,D,R26,Brasileirão 2023
2023-05-20,Botafogo,Botafogo,1-0,Fluminense,Fluminense,D,R7,Brasileirão 2023
2023-01-29,Fluminense,Fluminense,0-1,Botafogo,Botafogo,D,,Carioca 2023
2022-10-23,Fluminense,Fluminense,2-2,Botafogo,Botafogo,E,R33,Brasileirão 2022
2022-06-26,Botafogo,Botafogo,0-1,Fluminense,Fluminense,V,R14,Brasileirão 2022
2022-03-27,Fluminense,Fluminense,1-2,Botafogo,Botafogo,D,SF,Carioca 2022
2022-03-21,Botafogo,Botafogo,0-1,Fluminense,Fluminense,V,SF,Carioca 2022
2022-02-10,Fluminense,Fluminense,2-1,Botafogo,Botafogo,V,C,Carioca 2022
2021-04-17,Fluminense,Fluminense,1-0,Botafogo,Botafogo,V,,Carioca 2021
2021-01-24,Fluminense,Fluminense,2-0,Botafogo,Botafogo,V,R32,Brasileirão 2020
2020-10-04,Botafogo,Botafogo,1-1,Fluminense,Fluminense,E,R13,Brasileirão 2020
2020-07-05,Fluminense,Fluminense,0-0,Botafogo,Botafogo,E,SF,Carioca 2020
2020-02-09,Fluminense,Fluminense,3-0,Botafogo,Botafogo,V,B,Carioca 2020
2019-10-06,Botafogo,Botafogo,0-1,Fluminense,Fluminense,V,R23,Brasileirão 2019
