data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_fortaleza,rodada,competicao
2025-09-27,Fortaleza,Fortaleza,1-0,Sport,Sport,V,R25,Brasileirão 2025
2025-04-26,Sport,Sport,0-0,Fortaleza,Fortaleza,E,R6,Brasileirão 2025
2025-02-04,Sport,Sport,0-2,Fortaleza,Fortaleza,V,1F,Nordestão 2025
2024-05-26,Sport,Sport,1-4,Fortaleza,Fortaleza,V,SF,Nordestão 2024
2024-02-21,Sport,Sport,1-1,Fortaleza,Fortaleza,E,A,Nordestão 2024
2022-04-03,Fortaleza,Fortaleza,1-0,Sport,Sport,V,F,Nordestão 2022
2022-03-31,Sport,Sport,1-1,Fortaleza,Fortaleza,E,F,Nordestão 2022
2021-09-26,Sport,Sport,0-1,Fortaleza,Fortaleza,V,R22,Brasileirão 2021
2021-06-13,Fortaleza,Fortaleza,1-0,Sport,Sport,V,R3,Brasileirão 2021
2021-01-06,Sport,Sport,1-0,Fortaleza,Fortaleza,D,R28,Brasileirão 2020
2020-09-09,Fortaleza,Fortaleza,1-0,Sport,Sport,V,R9,Brasileirão 2020
2020-07-25,Fortaleza,Fortaleza,0-0 (4-1 Pen.),Sport,Sport,V,QF,Nordestão 2020
2016-03-09,Fortaleza,Fortaleza,2-1,Sport,Sport,V,D,Nordestão 2016
2016-02-17,Sport,Sport,2-0,Fortaleza,Fortaleza,D,D,Nordestão 2016
2015-03-29,Sport,Sport,1-0 (4-2 Pen.),Fortaleza,Fortaleza,D,QF,Nordestão 2015
2015-03-25,Fortaleza,Fortaleza,1-0,Sport,Sport,V,QF,Nordestão 2015
2013-01-30,Sport,Sport,3-0,Fortaleza,Fortaleza,D,B,Nordestão 2013
2013-01-27,Fortaleza,Fortaleza,0-0,Sport,Sport,E,B,Nordestão 2013
2004-07-24,Sport,Sport,2-1,Fortaleza,Fortaleza,D,1F,Série B 2004
2002-11-09,Sport,Sport,2-0,Fortaleza,Fortaleza,D,1F,Série B 2002
