Data,mandante,placar,visitante,vencedor,Campeonato,Resultado (Internacional) 
25/05/2025,Sport,1-1,Internacional,Empate,Brasileirão 2025,Empate
13/09/2021,Sport,0-1,Internacional,Internacional,Brasileirão 2021,Vitória
30/05/2021,Internacional,2-2,Sport,Empate,Brasileirão 2021,Empate
2/10/2021,Internacional,1-2,Sport,Sport,Brasileirão 2020,Derrota
14/10/2020,Sport,3-5,Internacional,Internacional,Brasileirão 2020,Vitória
10/5/2018,Sport,2-1,Internacional,Sport,Brasileirão 2018,Derrota
6/2/2018,Internacional,0-0,Sport,Empate,Brasileirão 2018,Empate
28/08/2016,Sport,1-1,Internacional,Empate,Brasileirão 2016,Empate
26/05/2016,Internacional,1-0,Sport,Internacional,Brasileirão 2016,Vitória
10/3/2015,Internacional,2-1,Sport,Internacional,Brasileirão 2015,Vitória
7/1/2015,Sport,3-0,Internacional,Sport,Brasileirão 2015,Derrota
17/09/2014,Sport,0-0,Internacional,Empate,Brasileirão 2014,Empate
5/4/2014,Internacional,2-1,Sport,Internacional,Brasileirão 2014,Vitória
16/09/2012,Internacional,2-2,Sport,Empate,Brasileirão 2012,Empate
24/06/2012,Sport,0-2,Internacional,Internacional,Brasileirão 2012,Vitória
29/11/2009,Sport,1-2,Internacional,Internacional,Brasileirão 2009,Vitória
8/10/2009,Internacional,3-0,Sport,Internacional,Brasileirão 2009,Vitória
31/08/2008,Sport,1-0,Internacional,Sport,Brasileirão 2008,Derrota
31/05/2008,Internacional,1-1,Sport,Empate,Brasileirão 2008,Empate
14/05/2008,Sport,3-1,Internacional,Sport,Copa Brasil 2008,Derrota
