Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-10-22,Bahia,1-0,Internacional,Bahia,Brasileirão 2025,V
2025-05-28,Internacional,2-1,Bahia,Internacional,Copa Libertadores 2025,V
2025-04-03,Bahia,1-1,Internacional,Empate,Copa Libertadores 2025,E
2024-07-27,Bahia,1-1,Internacional,Empate,Brasileirão 2024,E
2024-04-13,Internacional,2-1,Bahia,Internacional,Brasileirão 2024,V
2023-10-18,Bahia,1-0,Internacional,Bahia,Brasileirão 2023,V
2023-05-28,Internacional,2-0,Bahia,Internacional,Brasileirão 2023,V
2021-09-26,Internacional,2-0,Bahia,Internacional,Brasileirão 2021,V
2021-06-13,Bahia,0-1,Internacional,Internacional,Brasileirão 2021,D
2020-12-27,Bahia,1-2,Internacional,Internacional,Brasileirão 2020,D
2020-09-06,Internacional,2-2,Bahia,Empate,Brasileirão 2020,E
2019-10-26,Bahia,2-3,Internacional,Internacional,Brasileirão 2019,D
2019-06-12,Internacional,3-1,Bahia,Internacional,Brasileirão 2019,V
2018-08-22,Bahia,0-1,Internacional,Internacional,Brasileirão 2018,D
2018-04-15,Internacional,2-0,Bahia,Internacional,Brasileirão 2018,V
2014-10-25,Internacional,2-0,Bahia,Internacional,Brasileirão 2014,V
2014-09-04,Bahia,1-1,Internacional,Empate,Copa Sul-Americana 2014,E
2014-08-27,Internacional,0-2,Bahia,Bahia,Copa Sul-Americana 2014,D
2014-07-26,Bahia,0-1,Internacional,Internacional,Brasileirão 2014,D
2013-09-19,Bahia,2-0,Internacional,Bahia,Brasileirão 2013,V
