Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-06-06,Noruega,3-0,Itália,Noruega,Elim. Copa do Mundo (UEFA) 2026,V
2015-10-13,Itália,2-1,Noruega,Itália,Euro (E) 2015,V
2014-09-09,Noruega,0-2,Itália,Itália,Euro (E) 2015,D
2005-06-04,Noruega,0-0,Itália,Empate,Elim. Copa do Mundo (UEFA) 2005,E
2004-09-04,Itália,2-1,Noruega,Itália,Elim. Copa do Mundo (UEFA) 2005,V
2000-06-02,Noruega,1-0,Itália,Noruega,Amistosos Seleções 2000,V
1999-02-09,Itália,0-0,Noruega,Empate,Amistosos Seleções 1999,E
1998-06-27,Itália,1-0,Noruega,Itália,Copa do Mundo 1998,V
1994-06-23,Itália,1-0,Noruega,Itália,Copa do Mundo 1994,V
1991-11-12,Itália,1-1,Noruega,Empate,Euro (E) 1992,E
1991-06-04,Noruega,2-1,Itália,Noruega,Euro (E) 1992,V
1988-10-18,Itália,2-1,Noruega,Itália,Amistosos Seleções 1988,V
1987-05-27,Noruega,0-0,Itália,Empate,Amistosos Seleções 1987,E
1985-09-24,Itália,1-2,Noruega,Noruega,Amistosos Seleções 1985,D
1938-06-05,Itália,"2-1 (Pro.)",Noruega,Itália,Copa do Mundo 1938,V
1937-05-27,Noruega,1-3,Itália,Itália,Amistosos Seleções 1937,D
