Data,mandante,placar,visitante,vencedor,Rodada,Competicao
5/1/2025,Liverpool,2-2,Manchester United,Empate,R20,Premier League 24/25
1/9/2024,Manchester United,0-3,Liverpool,Liverpool,R3,Premier League 24/26
7/4/2024,Manchester United,2-2,Liverpool,Empate,R32,Premier League 24/27
17/3/2024,Manchester United,4-3(Pro.),Liverpool,Manchester United,QF,Premier League 24/28
17/12/2023,Liverpool,0-0,Manchester United,Empate,R17,Premier League 24/29
5/3/2023,Liverpool,7-0,Manchester United,Liverpool,R26,Premier League 24/30
22/8/2022,Manchester United,2-1,Liverpool,Manchester United,R3,Premier League 24/31
19/4/2022,Liverpool,4-0,Manchester United,Liverpool,R30,Premier League 24/32
24/10/2021,Manchester United,0-5,Liverpool,Liverpool,R9,Premier League 24/33
13/5/2021,Manchester United,2-4,Liverpool,Liverpool,R34,Premier League 24/34
24/1/2021,Manchester United,3-2,Liverpool,Manchester United,4R,Premier League 24/35
17/1/2021,Liverpool,0-0,Manchester United,Empate,R19,Premier League 24/36
19/1/2020,Liverpool,2-0,Manchester United,Liverpool,R23,Premier League 24/37
20/10/2019,Manchester United,1-1,Liverpool,Empate,R9,Premier League 24/38
24/2/2019,Manchester United,0-0,Liverpool,Empate,R27,Premier League 24/39
16/12/2018,Liverpool,3-1,Manchester United,Liverpool,R17,Premier League 24/40
10/3/2018,Manchester United,2-1,Liverpool,Manchester United,R30,Premier League 24/41
14/10/2017,Liverpool,0-0,Manchester United,Empate,R8,Premier League 24/42
15/1/2017,Manchester United,1-1,Liverpool,Empate,R21,Premier League 24/43
17/10/2016,Liverpool,0-0,Manchester United,Empate,R8,Premier League 24/44
