Data,Time da Casa,Placar,Time Visitante,Campeonato,Resultado (São Paulo),Vencedor
24/05/2025,São Paulo,0-2,Mirassol,Brasileirão 2025,Derrota,Mirassol
5/2/2025,São Paulo,1-Apr,Mirassol,Paulista 2025,Vitória,São Paulo
23/01/2024,Mirassol,1-Jan,São Paulo,Paulista 2024,Empate,Empate
13/03/2022,Mirassol,0-3,São Paulo,Paulista 2022,Vitória,São Paulo
16/05/2021,São Paulo,Apr-00,Mirassol,Paulista 2021,Vitória,São Paulo
9/5/2021,Mirassol,1-Jan,São Paulo,Paulista 2021,Empate,Empate
29/07/2020,São Paulo,3-Feb,Mirassol,Paulista 2020,Derrota,Mirassol
19/01/2019,São Paulo,1-Apr,Mirassol,Paulista 2019,Vitória,São Paulo
24/01/2018,Mirassol,0-2,São Paulo,Paulista 2018,Vitória,São Paulo
18/02/2017,São Paulo,2-Feb,Mirassol,Paulista 2017,Empate,Empate
19/01/2013,São Paulo,Feb-00,Mirassol,Paulista 2013,Vitória,São Paulo
25/03/2012,Mirassol,0-1,São Paulo,Paulista 2012,Vitória,São Paulo
3/4/2011,São Paulo,Jan-00,Mirassol,Paulista 2011,Vitória,São Paulo
20/01/2010,Mirassol,1-Jan,São Paulo,Paulista 2010,Empate,Empate
12/3/2009,São Paulo,May-00,Mirassol,Paulistão 2009,Vitória,São Paulo
2/3/2008,Mirassol,2-Jan,São Paulo,Paulistão 2008,Vitória,São Paulo
