Data,mandante,placar, visitante,vencedor,Rodada,Competição,
24/5/25,São Paulo,0-2,Mirassol,Mirassol,R10,Brasileirão 2025,
5/2/25,São Paulo,4-1,Mirassol,São Paulo,A,Paulista 2025,
23/1/24,Mirassol,1-1,São Paulo,Empate,A,Paulista 2024,
13/3/22,Mirassol,0-3,São Paulo,São Paulo,C,Paulista 2022,
16/5/21,São Paulo,4-0,Mirassol,São Paulo,SF,Paulista 2021,
9/5/21,Mirassol,1-1,São Paulo,Empate,A,Paulista 2021,
29/7/20,São Paulo,2-3,Mirassol,Mirassol,QF,Paulista 2020,
19/1/19,São Paulo,4-1,Mirassol,São Paulo,D,Paulista 2019,
24/1/18,Mirassol,0-2,São Paulo,São Paulo,D,Paulista 2018,
18/2/17,São Paulo,2-2,Mirassol,Empate,D,Paulista 2017,
19/1/13,São Paulo,2-0,Mirassol,São Paulo,R1,Paulista 2013,
25/3/12,Mirassol,0-1,São Paulo,São Paulo,R15,Paulista 2012,
3/4/11,São Paulo,1-0,Mirassol,São Paulo,R17,Paulista 2011,
20/1/10,Mirassol,1-1,São Paulo,Empate,R2,Paulista 2010,
12/3/09,São Paulo,5-0,Mirassol,São Paulo,R13,Paulistão 2009,
2/3/08,Mirassol,1-2,São Paulo,São Paulo,R12,Paulistão 2008,
