data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_newcastle,rodada,competicao
2025-09-28,Newcastle,Newcastle,1-2,Arsenal,Arsenal,D,R6,Premier League 25/26
2025-05-18,Arsenal,Arsenal,1-0,Newcastle,Newcastle,D,R37,Premier League 24/25
2025-02-05,Newcastle,Newcastle,2-0,Arsenal,Arsenal,V,SF,Carabao Cup 24/25
2025-01-07,Arsenal,Arsenal,0-2,Newcastle,Newcastle,V,SF,Carabao Cup 24/25
2024-11-02,Newcastle,Newcastle,1-0,Arsenal,Arsenal,V,R10,Premier League 24/25
2024-02-24,Arsenal,Arsenal,4-1,Newcastle,Newcastle,D,R26,Premier League 23/24
2023-11-04,Newcastle,Newcastle,1-0,Arsenal,Arsenal,V,R11,Premier League 23/24
2023-05-07,Newcastle,Newcastle,0-2,Arsenal,Arsenal,D,R35,Premier League 22/23
2023-01-03,Arsenal,Arsenal,0-0,Newcastle,Newcastle,E,R19,Premier League 22/23
2022-05-16,Newcastle,Newcastle,2-0,Arsenal,Arsenal,V,R37,Premier League 21/22
2021-11-27,Arsenal,Arsenal,2-0,Newcastle,Newcastle,D,R13,Premier League 21/22
2021-05-02,Newcastle,Newcastle,0-2,Arsenal,Arsenal,D,R34,Premier League 20/21
2021-01-18,Arsenal,Arsenal,3-0,Newcastle,Newcastle,D,R19,Premier League 20/21
2021-01-09,Arsenal,Arsenal,2-0 (Pro.),Newcastle,Newcastle,D,3R,FA Cup 20/21
2020-02-16,Arsenal,Arsenal,4-0,Newcastle,Newcastle,D,R26,Premier League 19/20
2019-08-11,Newcastle,Newcastle,0-1,Arsenal,Arsenal,D,R1,Premier League 19/20
2019-04-01,Arsenal,Arsenal,2-0,Newcastle,Newcastle,D,R32,Premier League 18/19
2018-09-15,Newcastle,Newcastle,1-2,Arsenal,Arsenal,D,R5,Premier League 18/19
2018-04-15,Newcastle,Newcastle,2-1,Arsenal,Arsenal,V,R34,Premier League 17/18
2017-12-16,Arsenal,Arsenal,1-0,Newcastle,Newcastle,D,R18,Premier League 17/18
