Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado (para o Mandante)
2025-07-23,Fluminense,1-2,Palmeiras,Palmeiras,"R16 Brasileirão 2025",D
2024-12-08,Palmeiras,0-1,Fluminense,Fluminense,"R38 Brasileirão 2024",D
2024-07-24,Fluminense,1-0,Palmeiras,Fluminense,"R19 Brasileirão 2024",V
2023-12-03,Palmeiras,1-0,Fluminense,Palmeiras,"R37 Brasileirão 2023",V
2023-08-05,Fluminense,2-1,Palmeiras,Fluminense,"R18 Brasileirão 2023",V
2022-08-27,Fluminense,1-1,Palmeiras,Empate,"R24 Brasileirão 2022",E
2022-05-08,Palmeiras,1-1,Fluminense,Empate,"R5 Brasileirão 2022",E
2021-11-14,Fluminense,2-1,Palmeiras,Fluminense,"R32 Brasileirão 2021",V
2021-07-24,Palmeiras,1-0,Fluminense,Palmeiras,"R13 Brasileirão 2021",V
2020-11-14,Palmeiras,2-0,Fluminense,Palmeiras,"R21 Brasileirão 2020",V
2020-08-12,Fluminense,1-1,Palmeiras,Empate,"R2 Brasileirão 2020",E
2019-11-28,Fluminense,1-0,Palmeiras,Fluminense,"R35 Brasileirão 2019",V
2019-09-10,Palmeiras,3-0,Fluminense,Palmeiras,"R16 Brasileirão 2019",V
2018-11-14,Palmeiras,3-0,Fluminense,Palmeiras,"R34 Brasileirão 2018",V
2018-07-25,Fluminense,1-0,Palmeiras,Fluminense,"R15 Brasileirão 2018",V
2017-09-24,Fluminense,0-1,Palmeiras,Palmeiras,"R25 Brasileirão 2017",D
2017-06-10,Palmeiras,3-1,Fluminense,Palmeiras,"R6 Brasileirão 2017",V
2016-08-28,Fluminense,0-2,Palmeiras,Palmeiras,"R22 Brasileirão 2016",D
2016-05-25,Palmeiras,2-0,Fluminense,Palmeiras,"R3 Brasileirão 2016",V
2015-10-28,Palmeiras,2-1,Fluminense,Palmeiras,"SF Copa do Brasil 2015 (4-1 Pen.)",V
