Data,Time da Casa,Placar,Time Visitante,Campeonato,Resultado (Juventude),Vencedor
20/10/2024,Juventude,5-Mar,Palmeiras,Brasileirão 2024,Derrota,Palmeiras
23/06/2024,Palmeiras,1-Mar,Juventude,Brasileirão 2024,Derrota,Palmeiras
10/9/2022,Palmeiras,1-Feb,Juventude,Brasileirão 2022,Derrota,Palmeiras
21/05/2022,Juventude,0-3,Palmeiras,Brasileirão 2022,Derrota,Palmeiras
3/10/2021,Palmeiras,1-Jan,Juventude,Brasileirão 2021,Empate,Empate
16/06/2021,Juventude,0-3,Palmeiras,Brasileirão 2021,Derrota,Palmeiras
1/11/2007,Palmeiras,0-1,Juventude,Brasileirão 2007,Vitória,Juventude
29/07/2007,Juventude,1-Jan,Palmeiras,Brasileirão 2007,Empate,Empate
19/11/2006,Juventude,2-Mar,Palmeiras,Brasileirão 2006,Vitória,Juventude
17/08/2006,Palmeiras,1-Jan,Juventude,Brasileirão 2006,Empate,Empate
16/11/2005,Palmeiras,2-Mar,Juventude,Brasileirão 2005,Derrota,Palmeiras
7/8/2005,Juventude,2-Jan,Palmeiras,Brasileirão 2005,Derrota,Palmeiras
17/10/2004,Juventude,0-2,Palmeiras,Brasileirão 2004,Derrota,Palmeiras
7/7/2004,Palmeiras,1-Apr,Juventude,Brasileirão 2004,Derrota,Palmeiras
12/10/2002,Palmeiras,2-Feb,Juventude,Brasileirão 2002,Empate,Empate
8/8/2001,Juventude,0-0,Palmeiras,Brasileirão 2001,Empate,Empate
7/10/2000,Juventude,0-1,Palmeiras,Copa João Havelange 2000,Derrota,Palmeiras
20/04/2000,Juventude,2-Feb,Palmeiras,Copa Libertadores 2000,Empate,Empate
21/03/2000,Palmeiras,Mar-00,Juventude,Copa Libertadores 2000,Derrota,Palmeiras
24/07/1999,Palmeiras,1-Mar,Juventude,Brasileirão 1999,Derrota,Palmeiras
