Data,mandante_nome,Placar,visitante_nome,Campeonato,Campeonato,Resultado
6/9/2025,Guarani,0-1,Ponte Preta,Série C 2025,Série C 2025,Ponte Preta
2/8/2025,Ponte Preta,1-1,Guarani,Série C 2025,Série C 2025,Empate
9/2/2025,Ponte Preta,2-0,Guarani,Paulista 2025,Paulista 2025,Ponte Preta
20/10/2024,Ponte Preta,0-1,Guarani,Série B 2024,Série B 2024,Guarani
30/06/2024,Guarani,1-1,Ponte Preta,Série B 2024,Série B 2024,Empate
2/9/2023,Guarani,1-0,Ponte Preta,Série B 2023,Série B 2023,Guarani
21/05/2023,Ponte Preta,1-1,Guarani,Série B 2023,Série B 2023,Empate
20/08/2022,Ponte Preta,1-0,Guarani,Série B 2022,Série B 2022,Ponte Preta
8/5/2022,Guarani,0-0,Ponte Preta,Série B 2022,Série B 2022,Empate
19/02/2022,Guarani,3-0,Ponte Preta,Paulista 2022,Paulista 2022,Guarani
17/09/2021,Ponte Preta,0-0,Guarani,Série B 2021,Série B 2021,Empate
19/06/2021,Guarani,1-0,Ponte Preta,Série B 2021,Série B 2021,Guarani
5/5/2021,Ponte Preta,3-1,Guarani,Paulista 2021,Paulista 2021,Ponte Preta
5/1/2021,Guarani,1-1,Ponte Preta,Série B 2020,Série B 2020,Empate
6/10/2020,Ponte Preta,2-0,Guarani,Série B 2020,Série B 2020,Ponte Preta
16/03/2020,Guarani,3-2,Ponte Preta,Paulista 2020,Paulista 2020,Guarani
9/11/2019,Guarani,0-0,Ponte Preta,Série B 2019,Série B 2019,Empate
11/8/2019,Ponte Preta,1-0,Guarani,Série B 2019,Série B 2019,Ponte Preta
16/03/2019,Ponte Preta,3-0,Guarani,Paulista 2019,Paulista 2019,Ponte Preta
25/08/2018,Ponte Preta,0-0,Guarani,Série B 2018,Série B 2018,Empate
