Data,Time da Casa,Placar,Time Visitante,Campeonato,Resultado (Portugal),Vencedor
11/6/2024,Portugal,Mar-00,Rep. Irlanda,Amistosos Seleções 2024,Vitória,Portugal
11/11/2021,Rep. Irlanda,0-0,Portugal,Elim. Copa do Mundo (UEFA) 2021,Empate,Empate
1/9/2021,Portugal,1-Feb,Rep. Irlanda,Elim. Copa do Mundo (UEFA) 2021,Vitória,Portugal
10/6/2014,Portugal,1-May,Rep. Irlanda,Amistosos Seleções 2014,Vitória,Portugal
9/2/2005,Rep. Irlanda,Jan-00,Portugal,Amistosos Seleções 2005,Derrota,Rep. Irlanda
2/6/2001,Rep. Irlanda,1-Jan,Portugal,Elim. Copa do Mundo (UEFA) 2002,Empate,Empate
7/10/2000,Portugal,1-Jan,Rep. Irlanda,Elim. Copa do Mundo (UEFA) 2002,Empate,Empate
28/05/1996,Rep. Irlanda,0-1,Portugal,Amistosos Seleções 1996,Vitória,Portugal
14/11/1995,Portugal,Mar-00,Rep. Irlanda,Euro (E) 1996,Vitória,Portugal
25/04/1995,Rep. Irlanda,Jan-00,Portugal,Euro (E) 1996,Derrota,Rep. Irlanda
6/6/1992,Portugal,0-2,Rep. Irlanda,Amistosos Seleções 1992,Derrota,Rep. Irlanda
24/06/1972,Portugal,1-Feb,Rep. Irlanda,Taça Independência 1972,Vitória,Portugal
22/05/1949,Rep. Irlanda,Jan-00,Portugal,Amistosos Seleções 1949,Derrota,Rep. Irlanda
23/05/1948,Portugal,Feb-00,Rep. Irlanda,Amistosos Seleções 1948,Vitória,Portugal
4/5/1947,Rep. Irlanda,0-2,Portugal,Amistosos Seleções 1947,Vitória,Portugal
16/06/1946,Portugal,1-Mar,Rep. Irlanda,Amistosos Seleções 1946,Vitória,Portugal
