data,mandante,placar,visitante,vencedor,Rodada ,competição
4/27/2025,Internazionale,0-1,Roma,Roma,R34,Serie A 24/25
10/20/2024,Roma,0-1,Internazionale,Internazionale,R8,Serie A 24/25
2/10/2024,Roma,4-2,Internazionale,Roma,R24,Serie A 23/24
10/29/2023,Internazionale,1-0,Roma,Internazionale,R10,Serie A 23/24
5/6/2023,Roma,0-2,Internazionale,Internazionale,R34,Serie A 22/23
10/1/2022,Internazionale,2-0,Roma,Internazionale,R8,Serie A 22/23
4/23/2022,Internazionale,1-3,Roma,Roma,R34,Serie A 21/22
2/8/2022,Internazionale,2-0,Roma,Internazionale,QF,Coppa Italia 2021/22
12/4/2021,Roma,0-3,Internazionale,Internazionale,R16,Serie A 21/22
5/12/2021,Internazionale,0-3,Roma,Roma,R36,Serie A 20/21
1/10/2021,Roma,1-3,Internazionale,Internazionale,R17,Serie A 20/21
7/19/2020,Roma,2-2,Internazionale,empate,R34,Serie A 19/20
12/6/2019,Internazionale,2-2,Roma,empate,R15,Serie A 19/20
4/20/2019,Internazionale,0-0,Roma,empate,R33,Serie A 18/19
12/2/2018,Roma,1-1,Internazionale,empate,R14,Serie A 18/19
1/21/2018,Internazionale,2-2,Roma,empate,R21,Serie A 17/18
8/26/2017,Roma,2-2,Internazionale,empate,R2,Serie A 17/18
2/26/2017,Internazionale,3-1,Roma,Internazionale,R26,Serie A 16/17
10/2/2016,Roma,1-2,Internazionale,Internazionale,R7,Serie A 16/17
3/19/2016,Roma,1-1,Internazionale,empate,R30,Serie A 15/16
