Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-11-06,Palmeiras,2-0,Santos,Palmeiras,Brasileirão 2025,V
2025-01-22,Santos,1-2,Palmeiras,Palmeiras,Paulista 2025,D
2024-04-07,Palmeiras,2-0,Santos,Palmeiras,Paulista 2024,V
2024-03-31,Santos,1-0,Palmeiras,Santos,Paulista 2024,V
2024-01-28,Palmeiras,2-1,Santos,Palmeiras,Paulista 2024,V
2023-10-08,Palmeiras,1-2,Santos,Santos,Brasileirão 2023,D
2023-05-20,Santos,0-0,Palmeiras,Empate,Brasileirão 2023,E
2023-02-04,Palmeiras,3-1,Santos,Palmeiras,Paulista 2023,V
2022-09-18,Palmeiras,1-0,Santos,Palmeiras,Brasileirão 2022,V
2022-05-29,Santos,0-1,Palmeiras,Palmeiras,Brasileirão 2022,D
2022-03-13,Palmeiras,1-0,Santos,Palmeiras,Paulista 2022,V
2021-11-07,Santos,0-2,Palmeiras,Palmeiras,Brasileirão 2021,D
2021-07-10,Palmeiras,3-2,Santos,Palmeiras,Brasileirão 2021,V
2021-05-06,Palmeiras,3-2,Santos,Palmeiras,Paulista 2021,V
2021-01-30,Palmeiras,1-0,Santos,Palmeiras,Copa Libertadores 2020,V
2020-12-05,Santos,2-2,Palmeiras,Empate,Brasileirão 2020,E
2020-08-23,Palmeiras,2-1,Santos,Palmeiras,Brasileirão 2020,V
2020-02-29,Santos,0-0,Palmeiras,Empate,Paulista 2020,E
2019-10-09,Santos,2-0,Palmeiras,Santos,Brasileirão 2019,V
2019-05-18,Palmeiras,4-0,Santos,Palmeiras,Brasileirão 2019,V
