Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado (para o Mandante)
2025-07-24,Juventude,0-1,São Paulo,São Paulo,"R16 Brasileirão 2025",D
2024-12-04,São Paulo,1-2,Juventude,Juventude,"R37 Brasileirão 2024",D
2024-07-21,Juventude,0-0,São Paulo,Empate,"R18 Brasileirão 2024",E
2022-10-23,Juventude,1-2,São Paulo,São Paulo,"R33 Brasileirão 2022",D
2022-06-26,São Paulo,0-0,Juventude,Empate,"R14 Brasileirão 2022",E
2022-05-12,São Paulo,2-0,Juventude,São Paulo,"3F Copa do Brasil 2022",V
2022-04-20,Juventude,2-2,São Paulo,Empate,"3F Copa do Brasil 2022",E
2021-12-06,São Paulo,3-1,Juventude,São Paulo,"R37 Brasileirão 2021",V
2021-08-29,Juventude,1-1,São Paulo,Empate,"R18 Brasileirão 2021",E
2016-09-22,Juventude,0-1,São Paulo,São Paulo,"1/8 Copa do Brasil 2016",D
2016-08-24,São Paulo,1-2,Juventude,Juventude,"1/8 Copa do Brasil 2016",D
2007-11-07,Juventude,2-0,São Paulo,Juventude,"R35 Brasileirão 2007",V
2007-08-02,São Paulo,3-1,Juventude,São Paulo,"R16 Brasileirão 2007",V
2006-10-14,São Paulo,5-0,Juventude,São Paulo,"R29 Brasileirão 2006",V
2006-06-04,Juventude,1-1,São Paulo,Empate,"R10 Brasileirão 2006",E
2005-11-05,São Paulo,3-1,Juventude,São Paulo,"R37 Brasileirão 2005",V
2005-07-31,Juventude,2-1,São Paulo,Juventude,"R16 Brasileirão 2005",V
2004-11-21,São Paulo,4-0,Juventude,São Paulo,"R42 Brasileirão 2004",V
2004-07-28,Juventude,1-2,São Paulo,São Paulo,"R19 Brasileirão 2004",D
2003-08-09,São Paulo,3-1,Juventude,São Paulo,"R25 Brasileirão 2003",V
