data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_sao_paulo,rodada,competicao
2025-05-11,Palmeiras,Palmeiras,1-0,São Paulo,São Paulo,D,R8,Brasileirão 2025
2025-03-10,Palmeiras,Palmeiras,1-0,São Paulo,São Paulo,D,SF,Paulista 2025
2025-02-16,Palmeiras,Palmeiras,0-0,São Paulo,São Paulo,E,A,Paulista 2025
2024-08-18,Palmeiras,Palmeiras,2-1,São Paulo,São Paulo,D,R23,Brasileirão 2024
2024-04-29,São Paulo,São Paulo,0-0,Palmeiras,Palmeiras,E,R4,Brasileirão 2024
2024-03-03,São Paulo,São Paulo,1-1,Palmeiras,Palmeiras,E,A,Paulista 2024
2024-02-04,Palmeiras,Palmeiras,0-0 (2-4 Pen.),São Paulo,São Paulo,V,F,Supercopa Rei 2024
2023-10-25,Palmeiras,Palmeiras,5-0,São Paulo,São Paulo,D,R29,Brasileirão 2023
2023-07-13,Palmeiras,Palmeiras,1-2,São Paulo,São Paulo,V,QF,Copa do Brasil 2023
2023-07-05,São Paulo,São Paulo,1-0,Palmeiras,Palmeiras,V,QF,Copa do Brasil 2023
2023-06-11,São Paulo,São Paulo,0-2,Palmeiras,Palmeiras,D,R10,Brasileirão 2023
2023-01-22,Palmeiras,Palmeiras,0-0,São Paulo,São Paulo,E,A,Paulista 2023
2022-10-16,Palmeiras,Palmeiras,0-0,São Paulo,São Paulo,E,R32,Brasileirão 2022
2022-07-14,Palmeiras,Palmeiras,2-1 (3-4 Pen.),São Paulo,São Paulo,V,1/8,Copa do Brasil 2022
2022-06-23,São Paulo,São Paulo,1-0,Palmeiras,Palmeiras,V,1/8,Copa do Brasil 2022
2022-06-20,São Paulo,São Paulo,1-2,Palmeiras,Palmeiras,D,R13,Brasileirão 2022
2022-04-03,Palmeiras,Palmeiras,4-0,São Paulo,São Paulo,D,F,Paulista 2022
2022-03-30,São Paulo,São Paulo,3-1,Palmeiras,Palmeiras,V,F,Paulista 2022
2022-03-10,São Paulo,São Paulo,0-1,Palmeiras,Palmeiras,D,C,Paulista 2022
2021-11-17,Palmeiras,Palmeiras,0-2,São Paulo,São Paulo,V,R33,Brasileirão 2021
