Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-07-16,Red Bull Bragantino,2-2,São Paulo,Empate,Brasileirão 2025,E
2025-02-08,Red Bull Bragantino,1-0,São Paulo,Red Bull Bragantino,Paulista 2025,V
2024-11-20,Red Bull Bragantino,1-1,São Paulo,Empate,Brasileirão 2024,E
2024-07-06,São Paulo,2-0,Red Bull Bragantino,São Paulo,Brasileirão 2024,V
2024-02-17,São Paulo,2-2,Red Bull Bragantino,Empate,Paulista 2024,E
2023-11-08,São Paulo,1-0,Red Bull Bragantino,São Paulo,Brasileirão 2023,V
2023-07-09,Red Bull Bragantino,0-0,São Paulo,Empate,Brasileirão 2023,E
2023-02-08,Red Bull Bragantino,2-1,São Paulo,Red Bull Bragantino,Paulista 2023,V
2022-08-14,São Paulo,3-0,Red Bull Bragantino,São Paulo,Brasileirão 2022,V
2022-04-23,Red Bull Bragantino,1-1,São Paulo,Empate,Brasileirão 2022,E
2022-02-03,Red Bull Bragantino,4-3,São Paulo,Red Bull Bragantino,Paulista 2022,V
2021-10-24,Red Bull Bragantino,1-0,São Paulo,Red Bull Bragantino,Brasileirão 2021,V
2021-07-04,São Paulo,1-2,Red Bull Bragantino,Red Bull Bragantino,Brasileirão 2021,D
2021-04-12,São Paulo,1-0,Red Bull Bragantino,São Paulo,Paulista 2021,V
2021-01-06,Red Bull Bragantino,4-2,São Paulo,Red Bull Bragantino,Brasileirão 2020,V
2020-09-09,São Paulo,1-1,Red Bull Bragantino,Empate,Brasileirão 2020,E
2020-07-23,São Paulo,2-3,Red Bull Bragantino,Red Bull Bragantino,Paulista 2020,D
2019-03-03,Bragantino,0-2,São Paulo,São Paulo,Paulista 2019,D
2018-02-07,São Paulo,1-0,Bragantino,São Paulo,Paulista 2018,V
2015-02-14,Bragantino,0-5,São Paulo,São Paulo,Paulista 2015,D
