Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-10-08,Atlético Mineiro,3-1,Sport,Atlético Mineiro,Brasileirão 2025,V
2024-05-22,Sport,1-0,Atlético Mineiro,Sport,Copa do Brasil 2024,V
2024-04-30,Atlético Mineiro,2-0,Sport,Atlético Mineiro,Copa do Brasil 2024,V
2021-09-18,Atlético Mineiro,3-0,Sport,Atlético Mineiro,Brasileirão 2021,V
2021-06-06,Sport,0-1,Atlético Mineiro,Atlético Mineiro,Brasileirão 2021,D
2021-02-21,Sport,2-3,Atlético Mineiro,Atlético Mineiro,Brasileirão 2020,D
2020-10-24,Atlético Mineiro,0-0,Sport,Empate,Brasileirão 2020,E
2018-09-30,Atlético Mineiro,5-2,Sport,Atlético Mineiro,Brasileirão 2018,V
2018-05-30,Sport,3-2,Atlético Mineiro,Sport,Brasileirão 2018,V
2017-10-15,Sport,1-1,Atlético Mineiro,Empate,Brasileirão 2017,E
2017-06-21,Atlético Mineiro,2-2,Sport,Empate,Brasileirão 2017,E
2016-09-15,Atlético Mineiro,1-0,Sport,Atlético Mineiro,Brasileirão 2016,V
2016-06-05,Sport,4-4,Atlético Mineiro,Empate,Brasileirão 2016,E
2015-10-18,Sport,4-1,Atlético Mineiro,Sport,Brasileirão 2015,V
2015-07-08,Atlético Mineiro,2-1,Sport,Atlético Mineiro,Brasileirão 2015,V
2014-10-25,Atlético Mineiro,3-2,Sport,Atlético Mineiro,Brasileirão 2014,V
2014-07-27,Sport,2-1,Atlético Mineiro,Sport,Brasileirão 2014,V
2012-10-14,Atlético Mineiro,2-1,Sport,Atlético Mineiro,Brasileirão 2012,V
2012-07-21,Sport,1-4,Atlético Mineiro,Atlético Mineiro,Brasileirão 2012,D
2010-04-21,Sport,0-2,Atlético Mineiro,Atlético Mineiro,Copa Brasil 2010,D
