Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado (para o Mandante)
2025-07-23,Vitória,2-2,Sport,Empate,"R16 Brasileirão 2025",E
2025-03-19,Vitória,1-0,Sport,Vitória,"1F Nordestão 2025",V
2023-11-18,Vitória,1-0,Sport,Vitória,"R37 Série B 2023",V
2023-07-19,Sport,1-2,Vitória,Vitória,"R18 Série B 2023",D
2020-02-01,Sport,1-1,Vitória,Empate,"B Nordestão 2020",E
2019-10-03,Vitória,2-2,Sport,Empate,"R26 Série B 2019",E
2019-06-08,Sport,3-1,Vitória,Sport,"R7 Série B 2019",V
2018-11-14,Sport,0-0,Vitória,Empate,"R34 Brasileirão 2018",E
2018-07-26,Vitória,1-0,Sport,Vitória,"R15 Brasileirão 2018",V
2017-10-12,Vitória,1-2,Sport,Sport,"R27 Brasileirão 2017",D
2017-06-18,Sport,1-3,Vitória,Vitória,"R8 Brasileirão 2017",D
2016-10-16,Sport,1-0,Vitória,Sport,"R31 Brasileirão 2016",V
2016-06-29,Vitória,3-2,Sport,Vitória,"R12 Brasileirão 2016",V
2014-10-12,Sport,1-2,Vitória,Vitória,"R28 Brasileirão 2014",D
2014-09-03,Vitória,2-1,Sport,Vitória,"2F Copa Sudamericana 2014",V
2014-08-28,Sport,0-1,Vitória,Vitória,"2F Copa Sudamericana 2014",D
2014-05-31,Vitória,0-1,Sport,Sport,"R9 Brasileirão 2014",D
2011-09-24,Sport,4-0,Vitória,Sport,"R25 Série B 2011",V
2011-06-18,Vitória,2-0,Sport,Vitória,"R6 Série B 2011",V
2009-08-22,Sport,2-0,Vitória,Sport,"R21 Brasileirão 2009",V
