Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-10-10,Suécia,0-2,Suíça,Suíça,Elim. Copa do Mundo (UEFA) 2026,D
2018-07-03,Suécia,1-0,Suíça,Suécia,Copa do Mundo 2018,V
2002-03-26,Suécia,1-1,Suíça,Empate,Amistosos Seleções 2002,E
2001-04-24,Suíça,0-2,Suécia,Suécia,Amistosos Seleções 2001,D
1995-09-05,Suécia,0-0,Suíça,Empate,Euro (E) 1996,E
1994-10-11,Suíça,4-2,Suécia,Suíça,Euro (E) 1996,V
1993-08-10,Suécia,1-2,Suíça,Suíça,Amistosos Seleções 1993,D
1991-10-08,Suíça,3-1,Suécia,Suíça,Amistosos Seleções 1991,V
1987-06-17,Suíça,1-1,Suécia,Empate,Euro (E) 1988,E
1986-09-23,Suécia,2-0,Suíça,Suécia,Euro (E) 1988,V
1984-05-01,Suíça,0-0,Suécia,Empate,Amistosos Seleções 1984,E
1977-06-08,Suécia,2-1,Suíça,Suécia,Elim. Copa do Mundo (UEFA) 1978,V
1976-10-09,Suíça,1-2,Suécia,Suécia,Elim. Copa do Mundo (UEFA) 1978,D
1974-06-08,Suécia,0-0,Suíça,Empate,Amistosos Seleções 1974,E
1972-04-25,Suíça,1-1,Suécia,Empate,Amistosos Seleções 1972,E
1961-11-12,Suíça,2-1,Suécia,Suíça,Elim. Copa do Mundo (UEFA) 1962,V
1961-10-29,Suíça,3-2,Suécia,Suíça,Elim. Copa do Mundo (UEFA) 1962,V
1961-05-28,Suécia,4-0,Suíça,Suécia,Elim. Copa do Mundo (UEFA) 1962,V
1958-05-07,Suécia,3-2,Suíça,Suécia,Amistosos Seleções 1958,V
1950-11-12,Suíça,4-2,Suécia,Suíça,Suécia,V
