data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_vasco,rodada,competicao
2025-09-27,Vasco,Vasco,2-0,Cruzeiro,Cruzeiro,V,R25,Brasileirão 2025
2025-04-27,Cruzeiro,Cruzeiro,1-0,Vasco,Vasco,D,R6,Brasileirão 2025
2024-09-29,Cruzeiro,Cruzeiro,1-1,Vasco,Vasco,E,R28,Brasileirão 2024
2024-06-16,Vasco,Vasco,0-0,Cruzeiro,Cruzeiro,E,R9,Brasileirão 2024
2023-11-22,Cruzeiro,Cruzeiro,2-2,Vasco,Vasco,E,R33,Brasileirão 2023
2023-07-08,Vasco,Vasco,0-1,Cruzeiro,Cruzeiro,D,R14,Brasileirão 2023
2022-09-21,Cruzeiro,Cruzeiro,3-0,Vasco,Vasco,D,R31,Série B 2022
2022-06-12,Vasco,Vasco,1-0,Cruzeiro,Cruzeiro,V,R12,Série B 2022
2021-09-19,Vasco,Vasco,1-1,Cruzeiro,Cruzeiro,E,R25,Série B 2021
2021-06-24,Cruzeiro,Cruzeiro,2-1,Vasco,Vasco,D,R6,Série B 2021
2019-12-02,Vasco,Vasco,1-0,Cruzeiro,Cruzeiro,V,R36,Brasileirão 2019
2019-09-01,Cruzeiro,Cruzeiro,1-0,Vasco,Vasco,D,R17,Brasileirão 2019
2018-10-14,Vasco,Vasco,2-0,Cruzeiro,Cruzeiro,V,R29,Brasileirão 2018
2018-06-06,Cruzeiro,Cruzeiro,1-1,Vasco,Vasco,E,R10,Brasileirão 2018
2018-05-02,Vasco,Vasco,0-4,Cruzeiro,Cruzeiro,D,5,Libertadores 2018
2018-04-04,Cruzeiro,Cruzeiro,0-0,Vasco,Vasco,E,5,Libertadores 2018
2017-11-26,Cruzeiro,Cruzeiro,0-1,Vasco,Vasco,V,R37,Brasileirão 2017
2017-08-03,Vasco,Vasco,0-3,Cruzeiro,Cruzeiro,D,R18,Brasileirão 2017
2015-09-16,Cruzeiro,Cruzeiro,2-2,Vasco,Vasco,E,R26,Brasileirão 2015
2015-06-13,Vasco,Vasco,1-3,Cruzeiro,Cruzeiro,D,R7,Brasileirão 2015
