data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_vasco,rodada,competicao
2025-05-10,Vitória,Vitória,2-1,Vasco,Vasco,D,R8,Brasileirão 2025
2024-09-01,Vitória,Vitória,0-1,Vasco,Vasco,V,R25,Brasileirão 2024
2024-05-12,Vasco,Vasco,2-1,Vitória,Vitória,V,R6,Brasileirão 2024
2021-11-10,Vasco,Vasco,0-3,Vitória,Vitória,D,R35,Série B 2021
2021-08-07,Vitória,Vitória,0-1,Vasco,Vasco,V,R16,Série B 2021
2018-09-09,Vitória,Vitória,1-0,Vasco,Vasco,D,R24,Brasileirão 2018
2018-05-13,Vasco,Vasco,2-3,Vitória,Vitória,D,R5,Brasileirão 2018
2017-11-05,Vasco,Vasco,1-1,Vitória,Vitória,E,R32,Brasileirão 2017
2017-07-12,Vitória,Vitória,1-4,Vasco,Vasco,V,R13,Brasileirão 2017
2017-03-16,Vitória,Vitória,1-0,Vasco,Vasco,D,3F,Copa do Brasil 2017
2017-03-09,Vasco,Vasco,1-1,Vitória,Vitória,E,3F,Copa do Brasil 2017
2013-09-18,Vasco,Vasco,1-2,Vitória,Vitória,D,R22,Brasileirão 2013
2013-06-01,Vitória,Vitória,2-0,Vasco,Vasco,D,R3,Brasileirão 2013
2010-10-30,Vitória,Vitória,4-2,Vasco,Vasco,D,R32,Brasileirão 2010
2010-08-08,Vasco,Vasco,1-0,Vitória,Vitória,V,R13,Brasileirão 2010
2010-05-05,Vasco,Vasco,3-1,Vitória,Vitória,V,QF,Copa Brasil 2010
2010-04-28,Vitória,Vitória,2-0,Vasco,Vasco,D,QF,Copa Brasil 2010
2009-05-20,Vitória,Vitória,1-1,Vasco,Vasco,E,QF,Copa Brasil 2009
2009-05-13,Vasco,Vasco,4-0,Vitória,Vitória,V,QF,Copa Brasil 2009
2008-12-07,Vasco,Vasco,0-2,Vitória,Vitória,D,R38,Brasileirão 2008
