Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2025-06-12,Red Bull Bragantino,0-3,Bahia,Bahia,R12,Brasileirão 2025
2024-09-01,Red Bull Bragantino,2-1,Bahia,Red Bull Bragantino,R25,Brasileirão 2024
2024-05-12,Bahia,1-0,Red Bull Bragantino,Bahia,R6,Brasileirão 2024
2023-08-20,Bahia,4-0,Red Bull Bragantino,Bahia,R20,Brasileirão 2023
2023-04-15,Red Bull Bragantino,2-1,Bahia,Red Bull Bragantino,R1,Brasileirão 2023
2021-09-18,Bahia,1-1,Red Bull Bragantino,Empate,R21,Brasileirão 2021
2021-06-05,Red Bull Bragantino,3-3,Bahia,Empate,R2,Brasileirão 2021
2020-11-20,Red Bull Bragantino,4-0,Bahia,Red Bull Bragantino,R22,Brasileirão 2020
2020-08-16,Bahia,2-1,Red Bull Bragantino,Bahia,R3,Brasileirão 2020
2016-11-19,Bahia,3-2,Red Bull Bragantino,Bahia,R37,Série B 2016
2016-07-30,Red Bull Bragantino,1-0,Bahia,Red Bull Bragantino,R18,Série B 2016
2015-09-11,Bahia,3-2,Red Bull Bragantino,Bahia,R25,Série B 15
2015-06-06,Red Bull Bragantino,2-0,Bahia,Red Bull Bragantino,R6,Série B 15
2010-11-27,Red Bull Bragantino,2-0,Bahia,Red Bull Bragantino,R38,Série B 2010
2010-09-03,Bahia,1-1,Red Bull Bragantino,Empate,R19,Série B 2010
2009-10-17,Red Bull Bragantino,3-0,Bahia,Red Bull Bragantino,R30,Série B 2009
2009-07-14,Bahia,1-1,Red Bull Bragantino,Empate,R11,Série B 2009
2008-11-01,Red Bull Bragantino,4-0,Bahia,Red Bull Bragantino,R33,Série B 2008
2008-07-25,Bahia,2-2,Red Bull Bragantino,Empate,R14,Série B 2008
2007-11-14,Red Bull Bragantino,1-1,Bahia,Empate,R10,Serie C 2007
