Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-10-29,Wolverhampton,3-4,Chelsea,Chelsea,Copa da Liga Inglesa 2025/26,D
2025-01-20,Chelsea,3-1,Wolverhampton,Chelsea,Premier League 24/25,V
2024-08-25,Wolverhampton,2-6,Chelsea,Chelsea,Premier League 24/25,D
2024-02-04,Chelsea,2-4,Wolverhampton,Wolverhampton,Premier League 23/24,D
2023-12-24,Wolverhampton,2-1,Chelsea,Wolverhampton,Premier League 23/24,V
2023-04-08,Wolverhampton,1-0,Chelsea,Wolverhampton,Premier League 22/23,V
2022-10-08,Chelsea,3-0,Wolverhampton,Chelsea,Premier League 22/23,V
2022-05-07,Chelsea,2-2,Wolverhampton,Empate,Premier League 21/22,E
2021-12-19,Wolverhampton,0-0,Chelsea,Empate,Premier League 21/22,E
2021-01-27,Chelsea,0-0,Wolverhampton,Empate,Premier League 20/21,E
2020-12-15,Wolverhampton,2-1,Chelsea,Wolverhampton,Premier League 20/21,V
2020-07-26,Chelsea,2-0,Wolverhampton,Chelsea,Premier League 19/20,V
2019-09-14,Wolverhampton,2-5,Chelsea,Chelsea,Premier League 19/20,D
2019-03-10,Chelsea,1-1,Wolverhampton,Empate,Premier League 18/19,E
2018-12-05,Wolverhampton,2-1,Chelsea,Wolverhampton,Premier League 18/19,V
2017-02-18,Wolverhampton,0-2,Chelsea,Chelsea,FA Cup 16/17,D
2012-09-25,Chelsea,6-0,Wolverhampton,Chelsea,Capital One Cup 12/13,V
2012-01-02,Wolverhampton,1-2,Chelsea,Chelsea,Premier League 11/12,D
2011-11-26,Chelsea,3-0,Wolverhampton,Chelsea,Premier League 11/12,V
2011-01-05,Wolverhampton,1-0,Chelsea,Wolverhampton,Premier League 10/11,V
