Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2025-06-12,Gremio,1-1,Corinthians,Empate,R12,Brasileirão 2025
2024-12-08,Gremio,0-3,Corinthians,Corinthians,R38,Brasileirão 2024
2024-08-07,Gremio,0-0(1-3 Pen.),Corinthians,Empate,1/8,Copa do Brasil 2024
2024-07-31,Corinthians,0-0,Gremio,Empate,1/8,Copa do Brasil 2024
2024-07-25,Corinthians,2-2,Gremio,Empate,R19,Brasileirão 2024
2023-11-12,Gremio,0-1,Corinthians,gremio,R34,Brasileirão 2023
2023-09-18,Corinthians,4-4,Gremio,Empate,R15,Brasileirão 2023
2021-12-05,Corinthians,1-1,Gremio,Empate,R37,Brasileirão 2021
2021-08-28,Gremio,0-1,Corinthians,Corinthians,R18,Brasileirão 2021
2020-11-22,Corinthians,0-0,Gremio,Empate,R22,Brasileirão 2020
2020-08-15,Gremio,0-0,Corinthians,Empate,R3,Brasileirão 2020
2019-10-05,Gremio,0-0,Corinthians,Empate,R23,Brasileirão 2019
2019-05-11,Corinthians,0-0,Gremio,Empate,R4,Brasileirão 2019
2018-12-02,Gremio,1-0,Corinthians,Gremio,R38,Brasileirão 2018
2018-08-18,Corinthians,0-1,Gremio,Gremio,R19,Brasileirão 2018
2017-10-18,Corinthians,0-0,Gremio,Empate,R29,Brasileirão 2017
2017-06-25,Gremio,0-1,Corinthians,Corinthians,R10,Brasileirão 2017
2016-08-14,Gremio,3-0,Corinthians,Gremio,R20,Brasileirão 2016
2016-05-15,Corinthians,0-0,Gremio,Empate,R1,Brasileirão 2016
2015-09-09,Corinthians,1-1,Gremio,Empate,R24,Brasileirão 2015
