Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-07-16,Ceará,0-1,Corinthians,Corinthians,Brasileirão 2025,D
2022-11-05,Corinthians,1-0,Ceará,Corinthians,Brasileirão 2022,V
2022-07-16,Ceará,3-1,Corinthians,Ceará,Brasileirão 2022,V
2021-11-25,Ceará,2-1,Corinthians,Ceará,Brasileirão 2021,V
2021-08-15,Corinthians,3-1,Ceará,Corinthians,Brasileirão 2021,V
2021-02-03,Corinthians,2-1,Ceará,Corinthians,Brasileirão 2020,V
2020-10-11,Ceará,2-1,Corinthians,Ceará,Brasileirão 2020,V
2019-12-04,Ceará,0-1,Corinthians,Corinthians,Brasileirão 2019,D
2019-09-07,Corinthians,2-2,Ceará,Empate,Brasileirão 2019,E
2019-04-03,Corinthians,0-1,Ceará,Ceará,Copa do Brasil 2019,D
2019-03-13,Ceará,1-3,Corinthians,Corinthians,Copa do Brasil 2019,D
2018-09-05,Ceará,2-1,Corinthians,Ceará,Brasileirão 2018,V
2018-05-06,Corinthians,1-1,Ceará,Empate,Brasileirão 2018,E
2011-11-16,Ceará,0-1,Corinthians,Corinthians,Brasileirão 2011,D
2011-08-14,Corinthians,2-2,Ceará,Empate,Brasileirão 2011,E
2010-10-02,Corinthians,2-2,Ceará,Empate,Brasileirão 2010,E
2010-07-14,Ceará,0-0,Corinthians,Empate,Brasileirão 2010,E
2008-10-25,Corinthians,2-0,Ceará,Corinthians,Série B 2008,V
2008-07-22,Ceará,2-2,Corinthians,Empate,Série B 2008,E
1995-11-02,Corinthians,2-2 (7-6 Pen.),Ceará,Corinthians,Copa Conmebol 1995,V
