Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2025-06-12,Vitória,0-0,Cruzeiro,Empate,R12,Brasileirão 2025
2024-08-19,Vitória,2-2,Cruzeiro,Empate,R23,Brasileirão 2024
2024-04-28,Cruzeiro,3-1,Vitória,Cruzeiro,R4,Brasileirão 2024
2021-11-14,Vitória,3-0,Cruzeiro,vitoria,R36,Série B 2021
2021-08-11,Cruzeiro,2-2,Vitória,Empate,R17,Série B 2021
2020-12-11,Vitória,0-1,Cruzeiro,Cruzeiro,R28,Série B 2020
2020-09-11,Cruzeiro,1-0,Vitória,cruzeiro,R9,Série B 2020
2018-11-21,Cruzeiro,3-0,Vitória,cruzeiro,R36,Brasileirão 2018
2018-08-05,Vitória,1-1,Cruzeiro,Empate,R17,Brasileirão 2018
2017-11-19,Vitória,1-1,Cruzeiro,Empate,R36,Brasileirão 2017
2017-07-30,Cruzeiro,0-0,Vitória,Empate,R17,Brasileirão 2017
2016-10-23,Vitória,0-1,Cruzeiro,Cruzeiro,R32,Brasileirão 2016
2016-07-20,Cruzeiro,2-1,Vitória,cruzeiro,3F,Copa do Brasil 2016
2016-07-06,Vitória,1-2,Cruzeiro,Cruzeiro,3F,Copa do Brasil 2016
2016-07-03,Cruzeiro,2-2,Vitória,Empate,R13,Brasileirão 2016
2014-10-19,Vitória,0-1,Cruzeiro,Cruzeiro,R29,Brasileirão 2014
2014-07-17,Cruzeiro,3-1,Vitória,cruzeiro,R10,Brasileirão 2014
2013-11-13,Vitória,1-3,Cruzeiro,Cruzeiro,R34,Brasileirão 2013
2013-08-17,Cruzeiro,5-1,Vitória,cruziero,R15,Brasileirão 2013
2010-11-07,Vitória,0-1,Cruzeiro,Cruzeiro,R34,Brasileirão 2010
