Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-07-17,Fluminense,0-2,Cruzeiro,Cruzeiro,Brasileirão 2025,D
2024-10-03,Fluminense,1-0,Cruzeiro,Fluminense,Brasileirão 2024,V
2024-06-19,Cruzeiro,2-0,Fluminense,Cruzeiro,Brasileirão 2024,V
2023-09-20,Fluminense,1-0,Cruzeiro,Fluminense,Brasileirão 2023,V
2023-05-10,Cruzeiro,0-2,Fluminense,Fluminense,Brasileirão 2023,D
2022-07-12,Cruzeiro,0-3,Fluminense,Fluminense,Copa do Brasil 2022,D
2022-06-23,Fluminense,2-1,Cruzeiro,Fluminense,Copa do Brasil 2022,V
2019-10-09,Cruzeiro,0-0,Fluminense,Empate,Brasileirão 2019,E
2019-06-05,Cruzeiro,2-2 (3-1 Pen.),Fluminense,Cruzeiro,Copa do Brasil 2019,V
2019-05-18,Fluminense,4-1,Cruzeiro,Fluminense,Brasileirão 2019,V
2019-05-15,Fluminense,1-1,Cruzeiro,Empate,Copa do Brasil 2019,E
2018-08-25,Cruzeiro,2-1,Fluminense,Cruzeiro,Brasileirão 2018,V
2018-04-22,Fluminense,1-0,Cruzeiro,Fluminense,Brasileirão 2018,V
2017-11-12,Cruzeiro,3-1,Fluminense,Cruzeiro,Brasileirão 2017,V
2017-07-20,Fluminense,1-1,Cruzeiro,Empate,Brasileirão 2017,E
2016-11-06,Cruzeiro,4-2,Fluminense,Cruzeiro,Brasileirão 2016,V
2016-07-17,Fluminense,2-0,Cruzeiro,Fluminense,Brasileirão 2016,V
2016-02-17,Cruzeiro,3-4,Fluminense,Fluminense,Primeira Liga 2016,D
2015-10-18,Cruzeiro,2-0,Fluminense,Cruzeiro,Brasileirão 2015,V
2015-07-09,Fluminense,1-0,Cruzeiro,Fluminense,Brasileirão 2015,V
