Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2025-11-1,Flamengo,3-0,Sport,Flamengo,R12,Brasileirão 2025
2021-12-03,Sport,1-1,Flamengo,Empate,R35,Brasileirão 2021
2021-08-15,Flamengo,2-0,Sport,Flamengo,R16,Brasileirão 2021
2021-02-01,Sport,0-3,Flamengo,Flamengo,R33,Brasileirão 2020
2020-10-07,Flamengo,3-0,Sport,Flamengo,R14,Brasileirão 2020
2018-11-18,Sport,0-1,Flamengo,Flamengo,R35,Brasileirão 2018
2018-07-29,Flamengo,4-1,Sport,Flamengo,R16,Brasileirão 2018
2017-09-17,Flamengo,2-0,Sport,Flamengo,R24,Brasileirão 2017
2017-06-07,Sport,2-0,Flamengo,Sport,R5,Brasileirão 2017
2016-08-13,Sport,1-0,Flamengo,Sport,R20,Brasileirão 2016
2016-05-14,Flamengo,1-0,Sport,Flamengo,R1,Brasileirão 2016
2015-08-30,Sport,0-1,Flamengo,Flamengo,R21,Brasileirão 2015
2015-05-17,Flamengo,2-2,Sport,Empate,R2,Brasileirão 2015
2014-11-09,Sport,2-2,Flamengo,Empate,R33,Brasileirão 2014
2014-08-10,Flamengo,1-0,Sport,Flamengo,R14,Brasileirão 2014
2012-08-30,Flamengo,1-1,Sport,Empate,R20,Brasileirão 2012
2012-05-19,Sport,1-1,Flamengo,Empate,R1,Brasileirão 2012
2009-09-12,Flamengo,3-0,Sport,Flamengo,R24,Brasileirão 2009
2009-06-07,Sport,4-2,Flamengo,Sport,R5,Brasileirão 2009
2008-09-27,Flamengo,2-1,Sport,Flamengo,R27,Brasileirão 2008
2008-06-29,Sport,1-2,Flamengo,Flamengo,R8,Brasileirão 2008
