Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado (para o Mandante)
2025-07-23,Red Bull Bragantino,1-2,Flamengo,Flamengo,"R16 Brasileirão 2025",D
2024-08-25,Flamengo,2-1,Red Bull Bragantino,Flamengo,"R24 Brasileirão 2024",V
2024-05-04,Red Bull Bragantino,1-1,Flamengo,Empate,"R5 Brasileirão 2024",E
2023-11-23,Flamengo,1-0,Red Bull Bragantino,Flamengo,"R30 Brasileirão 2023",V
2023-06-22,Red Bull Bragantino,4-0,Flamengo,Red Bull Bragantino,"R11 Brasileirão 2023",V
2022-10-01,Flamengo,4-1,Red Bull Bragantino,Flamengo,"R29 Brasileirão 2022",V
2022-06-08,Red Bull Bragantino,1-0,Flamengo,Red Bull Bragantino,"R10 Brasileirão 2022",V
2021-10-06,Red Bull Bragantino,1-1,Flamengo,Empate,"R24 Brasileirão 2021",E
2021-06-19,Flamengo,2-3,Red Bull Bragantino,Red Bull Bragantino,"R5 Brasileirão 2021",D
2021-02-07,Red Bull Bragantino,1-1,Flamengo,Empate,"R35 Brasileirão 2020",E
2020-10-15,Flamengo,1-1,Red Bull Bragantino,Empate,"R16 Brasileirão 2020",E
1998-08-09,Flamengo,0-1,Bragantino,Bragantino,"1F Brasileirão 1998",D
1997-09-21,Flamengo,0-0,Bragantino,Empate,"1F Brasileirão 1997",E
1996-09-04,Bragantino,0-1,Flamengo,Flamengo,"1F Brasileirão 1996",D
1995-08-27,Flamengo,2-1,Bragantino,Flamengo,"Brasileirão 1995",V
1994-09-18,Bragantino,0-1,Flamengo,Flamengo,"Brasileirão 1994",D
1994-08-17,Flamengo,2-1,Bragantino,Flamengo,"Brasileirão 1994",V
1993-10-16,Bragantino,5-1,Flamengo,Bragantino,"Brasileirão 1993",V
1993-09-12,Flamengo,1-1,Bragantino,Empate,"Brasileirão 1993",E
1992-03-14,Flamengo,0-1,Bragantino,Bragantino,"Desconhecido",D
