Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-07-29,Grêmio,2-1,Fortaleza,Grêmio,Brasileirão 2025,V
2024-10-04,Grêmio,3-1,Fortaleza,Grêmio,Brasileirão 2024,V
2024-06-19,Fortaleza,1-0,Grêmio,Fortaleza,Brasileirão 2024,V
2023-09-30,Fortaleza,1-1,Grêmio,Empate,Brasileirão 2023,E
2023-05-14,Grêmio,0-0,Fortaleza,Empate,Brasileirão 2023,E
2021-10-13,Fortaleza,1-0,Grêmio,Fortaleza,Brasileirão 2021,V
2021-06-27,Grêmio,0-0,Fortaleza,Empate,Brasileirão 2021,E
2021-01-09,Fortaleza,0-0,Grêmio,Empate,Brasileirão 2020,E
2020-09-13,Grêmio,1-1,Fortaleza,Empate,Brasileirão 2020,E
2019-10-19,Fortaleza,2-1,Grêmio,Fortaleza,Brasileirão 2019,V
2019-06-08,Grêmio,1-0,Fortaleza,Grêmio,Brasileirão 2019,V
2012-05-09,Grêmio,2-0,Fortaleza,Grêmio,Copa do Brasil 2012,V
2012-05-02,Fortaleza,0-2,Grêmio,Grêmio,Copa do Brasil 2012,D
2006-12-03,Fortaleza,1-0,Grêmio,Fortaleza,Brasileirão 2006,V
2006-08-24,Grêmio,4-1,Fortaleza,Grêmio,Brasileirão 2006,V
2003-10-08,Fortaleza,2-2,Grêmio,Empate,Brasileirão 2003,E
2003-06-07,Grêmio,3-1,Fortaleza,Grêmio,Brasileirão 2003,V
1997-03-25,Grêmio,3-1,Fortaleza,Grêmio,Copa do Brasil 1997,V
1997-03-18,Fortaleza,2-3,Grêmio,Grêmio,Copa do Brasil 1997,D
1981-03-28,Fortaleza,0-4,Grêmio,Grêmio,Brasileirão 1981,D
