Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2025-07-12,athltetico-pr,0-1,Goiás,Goiás,R16,Série B 2025
2023-08-21,Goiás,1-1,athltetico-pr,Empate,R20,Brasileirão 2023
2023-04-15,athltetico-pr,2-0,Goiás,athltetico-pr,R1,Brasileirão 2023
2022-11-02,athltetico-pr,3-2,Goiás,athltetico-pr,R35,Brasileirão 2022
2022-07-09,Goiás,2-1,athltetico-pr,goias,R16,Brasileirão 2022
2020-11-14,Goiás,0-1,athltetico-pr,athltetico-pr,R21,Brasileirão 2020
2020-08-12,athltetico-pr,2-1,Goiás,athltetico-pr,R2,Brasileirão 2020
2019-10-27,athltetico-pr,4-1,Goiás,athltetico-pr,R28,Brasileirão 2019
2019-06-13,Goiás,2-1,athltetico-pr,goias,R9,Brasileirão 2019
2015-08-30,athltetico-pr,3-0,Goiás,athltetico-pr,R21,Brasileirão 2015
2015-05-16,Goiás,2-0,athltetico-pr,goias,R2,Brasileirão 2015
2014-11-30,athltetico-pr,1-0,Goiás,athltetico-pr,R37,Brasileirão 2014
2014-08-31,Goiás,3-1,athltetico-pr,goias,R18,Brasileirão 2014
2013-10-20,Goiás,3-0,athltetico-pr,goias,R30,Brasileirão 2013
2013-08-04,athltetico-pr,2-0,Goiás,athltetico-pr,R11,Brasileirão 2013
2012-09-15,Goiás,3-2,Aathltetico-pr,goias,R25,Série B 2012
2012-06-16,athltetico-pr,0-0,Goiás,Empate,R6,Série B 2012
2010-10-16,athltetico-pr,2-1,Goiás,athltetico-pr,R30,Brasileirão 2010
2010-07-25,Goiás,0-2,athltetico-pr,athltetico-pr,R11,Brasileirão 2010
2009-11-08,athltetico-pr,2-0,Goiás,athltetico-pr,R34,Brasileirão 2009
