data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_atletico_go,rodada,competicao
2025-06-08,Athletico Paranaense,Athletico Paranaense,0-1,Atlético Goianiense,Atlético Goianiense,V,R11,Série B 2025
2024-11-20,Athletico Paranaense,Athletico Paranaense,2-0,Atlético Goianiense,Atlético Goianiense,D,R34,Brasileirão 2024
2024-07-07,Atlético Goianiense,Atlético Goianiense,1-2,Athletico Paranaense,Athletico Paranaense,D,R15,Brasileirão 2024
2022-11-09,Atlético Goianiense,Atlético Goianiense,1-1,Athletico Paranaense,Athletico Paranaense,E,R37,Brasileirão 2022
2022-07-20,Athletico Paranaense,Athletico Paranaense,4-1,Atlético Goianiense,Atlético Goianiense,D,R18,Brasileirão 2022
2021-10-06,Atlético Goianiense,Atlético Goianiense,0-2,Athletico Paranaense,Athletico Paranaense,D,R24,Brasileirão 2021
2021-08-04,Atlético Goianiense,Atlético Goianiense,2-2,Athletico Paranaense,Athletico Paranaense,E,1/8,Copa do Brasil 2021
2021-07-28,Athletico Paranaense,Athletico Paranaense,2-1,Atlético Goianiense,Atlético Goianiense,D,1/8,Copa do Brasil 2021
2021-06-20,Athletico Paranaense,Athletico Paranaense,2-1,Atlético Goianiense,Atlético Goianiense,D,R5,Brasileirão 2021
2021-02-14,Athletico Paranaense,Athletico Paranaense,2-1,Atlético Goianiense,Atlético Goianiense,D,R36,Brasileirão 2020
2020-10-17,Atlético Goianiense,Atlético Goianiense,1-1,Athletico Paranaense,Athletico Paranaense,E,R17,Brasileirão 2020
2017-10-11,Atlético Paranaense,Atlético Paranaense,2-2,Atlético Goianiense,Atlético Goianiense,E,R27,Brasileirão 2017
2017-06-17,Atlético Goianiense,Atlético Goianiense,0-1,Atlético Paranaense,Atlético Paranaense,D,R8,Brasileirão 2017
2011-11-06,Atlético Paranaense,Atlético Paranaense,2-1,Atlético Goianiense,Atlético Goianiense,D,R33,Brasileirão 2011
2011-08-04,Atlético Goianiense,Atlético Goianiense,0-3,Atlético Paranaense,Atlético Paranaense,D,R14,Brasileirão 2011
2010-09-18,Atlético Goianiense,Atlético Goianiense,1-2,Atlético Paranaense,Atlético Paranaense,D,R23,Brasileirão 2010
2010-05-27,Atlético Paranaense,Atlético Paranaense,2-1,Atlético Goianiense,Atlético Goianiense,D,R4,Brasileirão 2010
2007-04-25,Atlético Paranaense,Atlético Paranaense,2-0,Atlético Goianiense,Atlético Goianiense,D,1/8,Copa Brasil 2007
2007-04-18,Atlético Goianiense,Atlético Goianiense,3-1,Atlético Paranaense,Atlético Paranaense,V,1/8,Copa Brasil 2007
1987-11-04,Atlético Paranaense,Atlético Paranaense,3-0,Atlético Goianiense,Atlético Goianiense,D,A,Brasileirão 1987
