data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_bahia,rodada,competicao
2025-05-10,Flamengo,Flamengo,1-0,Bahia,Bahia,D,R8,Brasileirão 2025
2024-10-05,Bahia,Bahia,0-2,Flamengo,Flamengo,D,R29,Brasileirão 2024
2024-09-12,Flamengo,Flamengo,1-0,Bahia,Bahia,D,QF,Copa do Brasil 2024
2024-08-28,Bahia,Bahia,0-1,Flamengo,Flamengo,D,QF,Copa do Brasil 2024
2024-06-20,Flamengo,Flamengo,2-1,Bahia,Bahia,D,R10,Brasileirão 2024
2023-09-30,Flamengo,Flamengo,1-0,Bahia,Bahia,D,R25,Brasileirão 2023
2023-05-13,Bahia,Bahia,2-3,Flamengo,Flamengo,D,R6,Brasileirão 2023
2021-11-11,Flamengo,Flamengo,3-0,Bahia,Bahia,D,R31,Brasileirão 2021
2021-07-18,Bahia,Bahia,0-5,Flamengo,Flamengo,D,R12,Brasileirão 2021
2020-12-20,Flamengo,Flamengo,4-3,Bahia,Bahia,D,R26,Brasileirão 2020
2020-09-02,Bahia,Bahia,3-5,Flamengo,Flamengo,D,R7,Brasileirão 2020
2019-11-10,Flamengo,Flamengo,3-1,Bahia,Bahia,D,R32,Brasileirão 2019
2019-08-04,Bahia,Bahia,3-0,Flamengo,Flamengo,V,R13,Brasileirão 2019
2018-09-29,Bahia,Bahia,0-0,Flamengo,Flamengo,E,R27,Brasileirão 2018
2018-05-31,Flamengo,Flamengo,2-0,Bahia,Bahia,D,R8,Brasileirão 2018
2017-10-19,Flamengo,Flamengo,4-1,Bahia,Bahia,D,R29,Brasileirão 2017
2017-06-25,Bahia,Bahia,0-1,Flamengo,Flamengo,D,R10,Brasileirão 2017
2014-09-28,Bahia,Bahia,2-1,Flamengo,Flamengo,V,R25,Brasileirão 2014
2014-05-21,Flamengo,Flamengo,1-1,Bahia,Bahia,E,R6,Brasileirão 2014
2013-10-16,Flamengo,Flamengo,2-1,Bahia,Bahia,D,R29,Brasileirão 2013
