data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_bragantino,rodada,competicao
2025-05-10,Grêmio,Grêmio,1-1,Red Bull Bragantino,Red Bull Bragantino,E,R8,Brasileirão 2025
2024-09-15,Red Bull Bragantino,Red Bull Bragantino,2-2,Grêmio,Grêmio,E,R26,Brasileirão 2024
2024-06-01,Grêmio,Grêmio,0-2,Red Bull Bragantino,Red Bull Bragantino,V,R7,Brasileirão 2024
2023-09-14,Red Bull Bragantino,Red Bull Bragantino,2-0,Grêmio,Grêmio,V,R23,Brasileirão 2023
2023-05-07,Grêmio,Grêmio,3-3,Red Bull Bragantino,Red Bull Bragantino,E,R4,Brasileirão 2023
2021-11-16,Grêmio,Grêmio,3-0,Red Bull Bragantino,Red Bull Bragantino,D,R33,Brasileirão 2021
2021-07-31,Red Bull Bragantino,Red Bull Bragantino,1-0,Grêmio,Grêmio,V,R14,Brasileirão 2021
2021-02-25,Red Bull Bragantino,Red Bull Bragantino,1-0,Grêmio,Grêmio,V,R38,Brasileirão 2020
2020-11-02,Grêmio,Grêmio,2-1,Red Bull Bragantino,Red Bull Bragantino,D,R19,Brasileirão 2020
1998-10-07,Bragantino,Bragantino,1-0,Grêmio,Grêmio,V,1F,Brasileirão 1998
1997-09-28,Bragantino,Bragantino,1-1,Grêmio,Grêmio,E,1F,Brasileirão 1997
1996-08-20,Grêmio,Grêmio,6-1,Bragantino,Bragantino,D,1F,Brasileirão 1996
1995-09-24,Bragantino,Bragantino,2-0,Grêmio,Grêmio,V,A,Brasileirão 1995
1994-09-25,Grêmio,Grêmio,2-1,Bragantino,Bragantino,D,A,Brasileirão 1994
1994-08-14,Bragantino,Bragantino,0-0,Grêmio,Grêmio,E,A,Brasileirão 1994
1992-08-12,Grêmio,Grêmio,1-1 (7-6 Pen.),Bragantino,Bragantino,D,1F,Copa Conmebol 92
1992-08-07,Bragantino,Bragantino,2-2,Grêmio,Grêmio,E,1F,Copa Conmebol 92
1991-04-28,Grêmio,Grêmio,1-1,Bragantino,Bragantino,E,1F,Brasileirão 1991
1990-09-16,Grêmio,Grêmio,0-1,Bragantino,Bragantino,V,1F,Brasileirão 1990
