Data,mandante,Placar,visitante,Vencedor,Campeonato,Resultado (Ceará),
6/4/2025,Botafogo,3-2,Ceará,Botafogo,Brasileirão 2025,Derrota,
8/6/2022,Botafogo,1-1,Ceará,Empate,Brasileirão 2022,Empate,
17/04/2022,Ceará,1-3,Botafogo,Botafogo,Brasileirão 2022,Derrota,
25/02/2021,Ceará,2-1,Botafogo,Ceará,Brasileirão 2020,Vitória,
31/10/2020,Botafogo,2-2,Ceará,Empate,Brasileirão 2020,Empate,
12/8/2019,Botafogo,1-1,Ceará,Empate,Brasileirão 2019,Empate,
14/09/2019,Ceará,0-0,Botafogo,Empate,Brasileirão 2019,Empate,
15/10/2018,Ceará,0-0,Botafogo,Empate,Brasileirão 2018,Empate,
6/6/2018,Botafogo,0-0,Ceará,Empate,Brasileirão 2018,Empate,
20/10/2015,Botafogo,0-1,Ceará,Ceará,Série B 15,Vitória,
7/7/2015,Ceará,0-0,Botafogo,Empate,Série B 15,Empate,
9/3/2014,Ceará,3-4,Botafogo,Botafogo,Copa do Brasil 2014,Derrota,
27/08/2014,Botafogo,1-2,Ceará,Ceará,Copa do Brasil 2014,Vitória,
9/7/2011,Botafogo,4-0,Ceará,Botafogo,Brasileirão 2011,Derrota,
6/4/2011,Ceará,2-2,Botafogo,Empate,Brasileirão 2011,Empate,
11/10/2010,Ceará,2-2,Botafogo,Empate,Brasileirão 2010,Empate,
25/08/2010,Botafogo,1-0,Ceará,Botafogo,Brasileirão 2010,Derrota,
22/03/2007,Botafogo,2-0,Ceará,Botafogo,Copa Brasil 2007,Derrota,
14/03/2007,Ceará,1-2,Botafogo,Botafogo,Copa Brasil 2007,Derrota,
13/06/2003,Botafogo,0-2,Ceará,Ceará,Série B 2003,Vitória,
