data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_ceara,rodada,competicao
2025-05-12,Santos,Santos,0-0,Ceará,Ceará,E,R8,Brasileirão 2025
2024-10-22,Santos,Santos,1-0,Ceará,Ceará,D,R33,Série B 2024
2024-07-05,Ceará,Ceará,0-1,Santos,Santos,D,R14,Série B 2024
2022-09-10,Ceará,Ceará,2-1,Santos,Santos,V,R26,Brasileirão 2022
2022-05-21,Santos,Santos,0-0,Ceará,Ceará,E,R7,Brasileirão 2022
2021-09-18,Ceará,Ceará,0-0,Santos,Santos,E,R21,Brasileirão 2021
2021-06-05,Santos,Santos,3-1,Ceará,Ceará,D,R2,Brasileirão 2021
2020-12-27,Santos,Santos,1-1,Ceará,Ceará,E,R27,Brasileirão 2020
2020-11-04,Ceará,Ceará,1-0,Santos,Santos,V,1/8,Copa do Brasil 2020
2020-10-28,Santos,Santos,0-0,Ceará,Ceará,E,1/8,Copa do Brasil 2020
2020-09-05,Ceará,Ceará,0-1,Santos,Santos,D,R8,Brasileirão 2020
2019-10-17,Santos,Santos,2-1,Ceará,Ceará,D,R26,Brasileirão 2019
2019-06-02,Ceará,Ceará,0-1,Santos,Santos,D,R7,Brasileirão 2019
2018-08-08,Ceará,Ceará,1-1,Santos,Santos,E,R20,Brasileirão 2018
2018-04-14,Santos,Santos,2-0,Ceará,Ceará,D,R1,Brasileirão 2018
2011-11-13,Ceará,Ceará,2-3,Santos,Santos,D,R34,Brasileirão 2011
2011-08-07,Santos,Santos,1-0,Ceará,Ceará,D,R15,Brasileirão 2011
2010-09-12,Ceará,Ceará,2-1,Santos,Santos,V,R21,Brasileirão 2010
2010-05-16,Santos,Santos,1-1,Ceará,Ceará,E,R2,Brasileirão 2010
1978-06-07,Santos,Santos,2-1,Ceará,Ceará,D,H,Brasileirão 1978
