data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_criciuma,rodada,competicao
2025-09-28,Criciúma,Criciúma,2-4,Paysandu,Paysandu,D,R29,Série B 2025
2025-06-02,Paysandu,Paysandu,0-1,Criciúma,Criciúma,V,R10,Série B 2025
2021-11-06,Paysandu,Paysandu,0-1,Criciúma,Criciúma,V,D,Série C 2021
2021-10-03,Criciúma,Criciúma,0-0,Paysandu,Paysandu,E,D,Série C 2021
2018-09-22,Paysandu,Paysandu,1-1,Criciúma,Criciúma,E,R28,Série B 2018
2018-06-05,Criciúma,Criciúma,4-1,Paysandu,Paysandu,V,R9,Série B 2018
2017-10-27,Paysandu,Paysandu,1-0,Criciúma,Criciúma,D,R32,Série B 2017
2017-07-11,Criciúma,Criciúma,1-1,Paysandu,Paysandu,E,R13,Série B 2017
2016-11-25,Paysandu,Paysandu,1-2,Criciúma,Criciúma,V,R38,Série B 2016
2016-08-02,Criciúma,Criciúma,0-3,Paysandu,Paysandu,D,R19,Série B 2016
2015-11-21,Paysandu,Paysandu,1-0,Criciúma,Criciúma,D,R37,Série B 2015
2015-08-11,Criciúma,Criciúma,1-0,Paysandu,Paysandu,V,R18,Série B 2015
2004-11-21,Criciúma,Criciúma,1-0,Paysandu,Paysandu,V,R42,Brasileirão 2004
2004-07-28,Paysandu,Paysandu,2-2,Criciúma,Criciúma,E,R19,Brasileirão 2004
2003-10-23,Paysandu,Paysandu,4-0,Criciúma,Criciúma,D,R38,Brasileirão 2003
2003-06-29,Criciúma,Criciúma,2-0,Paysandu,Paysandu,V,R15,Brasileirão 2003
1999-08-22,Criciúma,Criciúma,1-1,Paysandu,Paysandu,E,1F,Série B 1999
1995-10-12,Criciúma,Criciúma,4-1,Paysandu,Paysandu,V,B,Brasileirão 1995
