data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_cruzeiro,rodada,competicao
2025-05-11,Sport,Sport,0-4,Cruzeiro,Cruzeiro,V,R8,Brasileirão 2025
2022-10-09,Sport,Sport,3-1,Cruzeiro,Cruzeiro,D,R34,Série B 2022
2022-06-28,Cruzeiro,Cruzeiro,2-1,Sport,Sport,V,R15,Série B 2022
2018-09-08,Sport,Sport,0-0,Cruzeiro,Cruzeiro,E,R24,Brasileirão 2018
2018-05-13,Cruzeiro,Cruzeiro,2-0,Sport,Sport,V,R5,Brasileirão 2018
2017-08-20,Cruzeiro,Cruzeiro,2-0,Sport,Sport,V,R21,Brasileirão 2017
2017-05-21,Sport,Sport,1-1,Cruzeiro,Cruzeiro,E,R2,Brasileirão 2017
2016-11-16,Sport,Sport,0-1,Cruzeiro,Cruzeiro,V,R35,Brasileirão 2016
2016-07-24,Cruzeiro,Cruzeiro,1-2,Sport,Sport,D,R16,Brasileirão 2016
2015-11-15,Cruzeiro,Cruzeiro,3-0,Sport,Sport,V,R35,Brasileirão 2015
2015-08-02,Sport,Sport,0-0,Cruzeiro,Cruzeiro,E,R16,Brasileirão 2015
2014-09-27,Sport,Sport,0-0,Cruzeiro,Cruzeiro,E,R25,Brasileirão 2014
2014-05-21,Cruzeiro,Cruzeiro,2-0,Sport,Sport,V,R6,Brasileirão 2014
2012-09-09,Sport,Sport,2-1,Cruzeiro,Cruzeiro,D,R23,Brasileirão 2012
2012-06-10,Cruzeiro,Cruzeiro,1-0,Sport,Sport,V,R4,Brasileirão 2012
2009-11-08,Sport,Sport,2-3,Cruzeiro,Cruzeiro,V,R34,Brasileirão 2009
2009-07-29,Cruzeiro,Cruzeiro,1-0,Sport,Sport,V,R15,Brasileirão 2009
2008-10-02,Cruzeiro,Cruzeiro,1-0,Sport,Sport,V,R28,Brasileirão 2008
2008-07-05,Sport,Sport,1-0,Cruzeiro,Cruzeiro,D,R9,Brasileirão 2008
2007-11-25,Sport,Sport,1-0,Cruzeiro,Cruzeiro,D,R37,Brasileirão 2007
