data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_gremio,rodada,competicao
2025-09-28,Grêmio,Grêmio,3-1,Vitória,Vitória,V,R25,Brasileirão 2025
2025-04-27,Vitória,Vitória,1-1,Grêmio,Grêmio,E,R6,Brasileirão 2025
2024-12-04,Vitória,Vitória,1-1,Grêmio,Grêmio,E,R37,Brasileirão 2024
2024-07-21,Grêmio,Grêmio,2-0,Vitória,Vitória,V,R18,Brasileirão 2024
2021-08-03,Grêmio,Grêmio,1-0,Vitória,Vitória,V,1/8,Copa do Brasil 2021
2021-07-27,Vitória,Vitória,0-3,Grêmio,Grêmio,V,1/8,Copa do Brasil 2021
2018-11-25,Vitória,Vitória,0-0,Grêmio,Grêmio,E,R37,Brasileirão 2018
2018-08-12,Grêmio,Grêmio,4-0,Vitória,Vitória,V,R18,Brasileirão 2018
2017-11-12,Grêmio,Grêmio,1-1,Vitória,Vitória,E,R34,Brasileirão 2017
2017-07-19,Vitória,Vitória,1-3,Grêmio,Grêmio,V,R15,Brasileirão 2017
2016-10-05,Vitória,Vitória,0-1,Grêmio,Grêmio,V,R29,Brasileirão 2016
2016-06-23,Grêmio,Grêmio,1-2,Vitória,Vitória,D,R10,Brasileirão 2016
2014-11-01,Grêmio,Grêmio,1-0,Vitória,Vitória,V,R32,Brasileirão 2014
2014-08-02,Vitória,Vitória,2-1,Grêmio,Grêmio,D,R13,Brasileirão 2014
2013-09-21,Vitória,Vitória,0-0,Grêmio,Grêmio,E,R23,Brasileirão 2013
2013-06-05,Grêmio,Grêmio,1-0,Vitória,Vitória,V,R4,Brasileirão 2013
2010-10-02,Vitória,Vitória,0-3,Grêmio,Grêmio,V,R27,Brasileirão 2010
2010-07-14,Grêmio,Grêmio,1-1,Vitória,Vitória,E,R8,Brasileirão 2010
2009-09-05,Grêmio,Grêmio,1-1,Vitória,Vitória,E,R23,Brasileirão 2009
2009-05-31,Vitória,Vitória,1-0,Grêmio,Grêmio,D,R4,Brasileirão 2009
