data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_internacional,rodada,competicao
2025-05-11,Botafogo,Botafogo,4-0,Internacional,Internacional,D,R8,Brasileirão 2025
2024-12-04,Internacional,Internacional,0-1,Botafogo,Botafogo,D,R37,Brasileirão 2024
2024-07-20,Botafogo,Botafogo,1-0,Internacional,Internacional,D,R18,Brasileirão 2024
2023-12-06,Internacional,Internacional,3-1,Botafogo,Botafogo,V,R38,Brasileirão 2023
2023-08-12,Botafogo,Botafogo,3-1,Internacional,Internacional,D,R19,Brasileirão 2023
2022-10-16,Botafogo,Botafogo,0-1,Internacional,Internacional,V,R32,Brasileirão 2022
2022-06-19,Internacional,Internacional,2-3,Botafogo,Botafogo,D,R13,Brasileirão 2022
2020-12-12,Internacional,Internacional,2-1,Botafogo,Botafogo,V,R25,Brasileirão 2020
2020-08-29,Botafogo,Botafogo,0-2,Internacional,Internacional,V,R6,Brasileirão 2020
2019-11-30,Botafogo,Botafogo,0-1,Internacional,Internacional,V,R36,Brasileirão 2019
2019-08-31,Internacional,Internacional,3-2,Botafogo,Botafogo,V,R17,Brasileirão 2019
2018-11-18,Botafogo,Botafogo,1-0,Internacional,Internacional,D,R35,Brasileirão 2018
2018-07-29,Internacional,Internacional,3-0,Botafogo,Botafogo,V,R16,Brasileirão 2018
2016-10-12,Botafogo,Botafogo,1-0,Internacional,Internacional,D,R30,Brasileirão 2016
2016-06-26,Internacional,Internacional,2-3,Botafogo,Botafogo,D,R11,Brasileirão 2016
2014-09-14,Internacional,Internacional,2-0,Botafogo,Botafogo,V,R21,Brasileirão 2014
2014-04-27,Botafogo,Botafogo,2-2,Internacional,Internacional,E,R2,Brasileirão 2014
2013-11-10,Internacional,Internacional,2-1,Botafogo,Botafogo,V,R33,Brasileirão 2013
2013-08-15,Botafogo,Botafogo,3-3,Internacional,Internacional,E,R14,Brasileirão 2013
2012-09-13,Botafogo,Botafogo,1-1,Internacional,Internacional,E,R24,Brasileirão 2012
