data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_juventude,rodada,competicao
2025-09-27,Juventude,Juventude,1-1,Internacional,Internacional,E,R25,Brasileirão 2025
2025-04-26,Internacional,Internacional,3-1,Juventude,Juventude,D,R6,Brasileirão 2025
2025-01-25,Internacional,Internacional,2-0,Juventude,Juventude,D,B,Gaúcho 2025
2024-09-01,Juventude,Juventude,1-3,Internacional,Internacional,D,R25,Brasileirão 2024
2024-08-14,Internacional,Internacional,2-1,Juventude,Juventude,D,R6,Brasileirão 2024
2024-07-13,Juventude,Juventude,1-1,Internacional,Internacional,E,3F,Copa do Brasil 2024
2024-07-10,Internacional,Internacional,1-2,Juventude,Juventude,V,3F,Copa do Brasil 2024
2024-03-25,Internacional,Internacional,1-1 (5-6 Pen.),Juventude,Juventude,V,SF,Gaúcho 2024
2024-03-17,Juventude,Juventude,0-0,Internacional,Internacional,E,SF,Gaúcho 2024
2024-03-02,Juventude,Juventude,1-2,Internacional,Internacional,D,1F,Gaúcho 2024
2023-01-21,Internacional,Internacional,2-2,Juventude,Juventude,E,1T,Gaúcho 2023
2022-08-29,Internacional,Internacional,4-0,Juventude,Juventude,D,R24,Brasileirão 2022
2022-05-08,Juventude,Juventude,1-1,Internacional,Internacional,E,R5,Brasileirão 2022
2022-01-26,Juventude,Juventude,1-2,Internacional,Internacional,D,1T,Gaúcho 2022
2021-11-10,Juventude,Juventude,2-1,Internacional,Internacional,V,R31,Brasileirão 2021
2021-07-18,Internacional,Internacional,1-0,Juventude,Juventude,D,R12,Brasileirão 2021
2021-05-08,Internacional,Internacional,4-1,Juventude,Juventude,D,SF,Gaúcho 2021
2021-05-02,Juventude,Juventude,1-0,Internacional,Internacional,V,SF,Gaúcho 2021
2021-03-01,Internacional,Internacional,1-0,Juventude,Juventude,D,1T,Gaúcho 2021
2020-01-23,Juventude,Juventude,0-1,Internacional,Internacional,D,A,Gaúcho 2020
