Data,mandante,placar,visitante,vencedor,rodada ,campeonato,
5/24/2025,Sao_Paulo,0-2,Mirassol,Sao_Paulo,R10,Brasileirão 2025,
2/5/2025,Sao_Paulo,4-1,Mirassol,Sao_Paulo,A,Paulista 2025,
1/23/2024,Mirassol,1-1,Sao_Paulo,Empate,A,Paulista 2024,
3/13/2022,Mirassol,0-3,Sao_Paulo,Sao_Paulo,C,Paulista 2022,
5/16/2021,Sao_Paulo,4-0,Mirassol,Sao_Paulo,SF,Paulista 2021,
5/9/2021,Mirassol,1-1,Sao_Paulo,Empate,A,Paulista 2021,
7/29/2020,Sao_Paulo,2-3,Mirassol,Mirassol,QF,Paulista 2020,
1/19/2019,Sao_Paulo,4-1,Mirassol,Sao_Paulo,D,Paulista 2019,
1/24/2018,Mirassol,0-2,Sao_Paulo,Sao_Paulo,D,Paulista 2018,
2/18/2017,Sao_Paulo,2-2,Mirassol,Empate,D,Paulista 2017,
1/19/2013,Sao_Paulo,2-0,Mirassol,Sao_Paulo,R1,Paulista 2013,
3/25/2012,Mirassol,0-1,Sao_Paulo,Sao_Paulo,R15,Paulista 2012,
4/3/2011,Sao_Paulo,1-0,Mirassol,Sao_Paulo,R17,Paulista 2011,
1/20/2010,Mirassol,1-1,Sao_Paulo,Empate,R2,Paulista 2010,
3/12/2009,Sao_Paulo,5-0,Mirassol,Sao_Paulo,R13,Paulistão 2009,
3/2/2008,Mirassol,1-2,Sao_Paulo,Sao_Paulo,R12,Paulistão 2008,
