Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2025-06-12,Atlético-MG,2-0,Internacional,Atlético-MG,R12,Brasileirão 2025
2024-10-26,Atlético-MG,1-3,Internacional,Internacional,R31,Brasileirão 2024
2024-06-26,Internacional,1-2,Atlético-MG,Atlético-MG,R12,Brasileirão 2024
2023-09-30,Internacional,0-2,Atlético-MG,Atlético-MG,R25,Brasileirão 2023
2023-05-13,Atlético-MG,2-0,Internacional,Atlético-MG,R6,Brasileirão 2023
2022-07-31,Internacional,3-0,Atlético-MG,Internacional,R20,Brasileirão 2022
2022-04-10,Atlético-MG,2-0,Internacional,Atlético-MG,R1,Brasileirão 2022
2021-10-02,Atlético-MG,1-0,Internacional,Atlético-MG,R23,Brasileirão 2021
2021-06-16,Internacional,0-1,Atlético-MG,Atlético-MG,R4,Brasileirão 2021
2020-12-06,Atlético-MG,2-2,Internacional,Empate,R24,Brasileirão 2020
2020-08-22,Internacional,1-0,Atlético-MG,Internacional,R5,Brasileirão 2020
2019-12-08,Internacional,2-1,Atlético-MG,Internacional,R38,Brasileirão 2019
2019-09-15,Atlético-MG,1-3,Internacional,Internacional,R19,Brasileirão 2019
2018-11-21,Internacional,1-2,Atlético-MG,Atlético-MG,R36,Brasileirão 2018
2018-08-06,Atlético-MG,0-1,Internacional,Internacional,R17,Brasileirão 2018
2017-08-30,Internacional,0-1,Atlético-MG,Atlético-MG,QF,Primeira Liga 2017
2016-11-02,Atlético-MG,2-2,Internacional,Empate,SF,Copa do Brasil 2016
2016-10-26,Internacional,1-2,Atlético-MG,Atlético-MG,SF,Copa do Brasil 2016
2016-09-25,Atlético-MG,3-1,Internacional,Atlético-MG,R27,Brasileirão 2016
2016-06-16,Internacional,2-0,Atlético-MG,Internacional,R8,Brasileirão 2016
