Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-09-06,Rep. Irlanda,2-2,Hungria,Empate,Elim. Copa do Mundo (UEFA) 2026,E
2024-06-04,Rep. Irlanda,2-1,Hungria,Rep. Irlanda,Amistosos Seleções 2024,V
2021-06-08,Hungria,0-0,Rep. Irlanda,Empate,Amistosos Seleções 2021,E
2012-06-04,Hungria,0-0,Rep. Irlanda,Empate,Amistosos Seleções 2012,E
1993-05-28,Rep. Irlanda,2-4,Hungria,Hungria,Amistosos Seleções 1993,D
1991-09-10,Hungria,1-2,Rep. Irlanda,Rep. Irlanda,Amistosos Seleções 1991,D
1989-06-03,Rep. Irlanda,2-0,Hungria,Rep. Irlanda,Elim. Copa do Mundo (UEFA) 1990,V
1989-03-07,Hungria,0-0,Rep. Irlanda,Empate,Elim. Copa do Mundo (UEFA) 1990,E
1969-11-05,Hungria,4-0,Rep. Irlanda,Hungria,Elim. Copa do Mundo (UEFA) 1970,V
1969-06-08,Rep. Irlanda,1-2,Hungria,Hungria,Elim. Copa do Mundo (UEFA) 1970,D
1939-05-18,Hungria,2-2,Rep. Irlanda,Empate,Amistosos Seleções 1939,E
1939-03-19,Rep. Irlanda,2-2,Hungria,Empate,Amistosos Seleções 1939,E
1936-12-06,Rep. Irlanda,2-3,Hungria,Hungria,Amistosos Seleções 1936,D
1936-05-03,Hungria,3-3,Rep. Irlanda,Empate,Amistosos Seleções 1936,E
1934-12-15,Rep. Irlanda,2-4,Hungria,Hungria,,D
