Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2025-10-11,Palmeiras,4-1,Juventude,Palmeiras,R12,Brasileirão 2025
2024-10-20,Juventude,3-5,Palmeiras,Palmeiras,R30,Brasileirão 2024
2024-06-23,Palmeiras,3-1,Juventude,Palmeiras,R11,Brasileirão 2024
2022-09-10,Palmeiras,2-1,Juventude,Palmeiras,R26,Brasileirão 2022
2022-05-21,Juventude,0-3,Palmeiras,Palmeiras,R7,Brasileirão 2022
2021-10-03,Palmeiras,1-1,Juventude,Empate,R23,Brasileirão 2021
2021-06-16,Juventude,0-3,Palmeiras,Palmeiras,R4,Brasileirão 2021
2007-11-01,Palmeiras,0-1,Juventude,Juventude,R34,Brasileirão 2007
2007-07-29,Juventude,1-1,Palmeiras,Empate,R15,Brasileirão 2007
2006-11-19,Juventude,3-2,Palmeiras,Juventude,R36,Brasileirão 2006
2006-08-17,Palmeiras,1-1,Juventude,Empate,R17,Brasileirão 2006
2005-11-16,Palmeiras,3-2,Juventude,Palmeiras,R39,Brasileirão 2005
2005-08-07,Juventude,1-2,Palmeiras,Palmeiras,R18,Brasileirão 2005
2004-10-17,Juventude,0-2,Palmeiras,Palmeiras,R36,Brasileirão 2004
2004-07-07,Palmeiras,4-1,Juventude,Palmeiras,R13,Brasileirão 2004
2002-10-12,Palmeiras,2-2,Juventude,Empate,R19,Brasileirão 2002
2001-08-08,Juventude,0-0,Palmeiras,Empate,R3,Brasileirão 2001
2000-10-07,Juventude,0-1,Palmeiras,Palmeiras,1F,Copa João Havelange 2000
2000-04-20,Juventude,2-2,Palmeiras,Empate,7,Copa Libertadores 2000
2000-03-21,Palmeiras,3-0,Juventude,Palmeiras,7,Copa Libertadores 2000
