Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-07-16,Palmeiras,1-1,Mirassol,Empate,Brasileirão 2025,E
2025-02-23,Mirassol,2-3,Palmeiras,Palmeiras,Paulista 2025,D
2024-02-24,Palmeiras,3-1,Mirassol,Palmeiras,Paulista 2024,V
2023-02-01,Mirassol,0-2,Palmeiras,Palmeiras,Paulista 2023,D
2021-04-25,Palmeiras,1-2,Mirassol,Mirassol,Paulista 2021,D
2020-02-16,Palmeiras,3-1,Mirassol,Palmeiras,Paulista 2020,V
2019-03-09,Mirassol,1-1,Palmeiras,Empate,Paulista 2019,E
2018-02-10,Mirassol,0-2,Palmeiras,Palmeiras,Paulista 2018,D
2017-03-22,Palmeiras,2-0,Mirassol,Palmeiras,Paulista 2017,V
2013-03-27,Mirassol,6-2,Palmeiras,Mirassol,Paulista 2013,V
2012-03-31,Palmeiras,0-1,Mirassol,Mirassol,Paulista 2012,D
2011-04-24,Palmeiras,2-1,Mirassol,Palmeiras,Paulista 2011,V
2011-02-02,Mirassol,0-1,Palmeiras,Palmeiras,Paulista 2011,D
2010-03-27,Palmeiras,1-1,Mirassol,Empate,Paulista 2010,E
2009-02-11,Mirassol,2-3,Palmeiras,Palmeiras,Paulistão 2009,D
2008-01-26,Palmeiras,2-2,Mirassol,Empate,Paulistão 2008,E
