Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-01-26,Milan,3-2,Parma,Milan,Serie A 24/25,V
2024-08-24,Parma,2-1,Milan,Parma,Serie A 24/25,V
2021-04-10,Parma,1-3,Milan,Milan,Serie A 20/21,D
2020-12-13,Milan,2-2,Parma,Empate,Serie A 20/21,E
2020-07-15,Milan,3-1,Parma,Milan,Serie A 19/20,V
2019-12-01,Parma,0-1,Milan,Milan,Serie A 19/20,D
2019-04-20,Parma,1-1,Milan,Empate,Serie A 18/19,E
2018-12-02,Milan,2-1,Parma,Milan,Serie A 18/19,V
2015-02-01,Milan,3-1,Parma,Milan,Serie A 14/15,V
2014-09-14,Parma,4-5,Milan,Milan,Serie A 14/15,D
2014-03-16,Milan,2-4,Parma,Parma,Serie A 13/14,D
2013-10-27,Parma,3-2,Milan,Parma,Serie A 13/14,V
2013-02-15,Milan,2-1,Parma,Milan,Serie A 12/13,V
2012-09-29,Parma,1-1,Milan,Empate,Serie A 12/13,E
2012-03-17,Parma,0-2,Milan,Milan,Serie A 11/12,D
2011-10-26,Milan,4-1,Parma,Milan,Serie A 11/12,V
2011-02-12,Milan,4-0,Parma,Milan,Campeonato Italiano 2010/11,V
2010-10-02,Parma,0-1,Milan,Milan,Campeonato Italiano 2010/11,D
2010-03-24,Parma,1-0,Milan,Parma,Campeonato Italiano 2009/10,V
2009-10-31,Milan,2-0,Parma,Milan,Campeonato Italiano 2009/10,V
