Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2025-06-12,Fortaleza,2-3,Santos,Santos,R12,Brasileirão 2025
2023-12-06,Santos,1-2,Fortaleza,Fortaleza,R38,Brasileirão 2023
2023-08-13,Fortaleza,4-0,Santos,fortaleza,R19,Brasileirão 2023
2022-11-13,Santos,0-2,Fortaleza,Fortaleza,R38,Brasileirão 2022
2022-07-24,Fortaleza,0-0,Santos,Empate,R19,Brasileirão 2022
2021-11-25,Santos,2-0,Fortaleza,santos,R35,Brasileirão 2021
2021-08-15,Fortaleza,1-1,Santos,Empate,R16,Brasileirão 2021
2021-01-21,Fortaleza,2-0,Santos,fortaleza,R31,Brasileirão 2020
2020-09-27,Santos,1-1,Fortaleza,Empate,R12,Brasileirão 2020
2019-11-28,Fortaleza,2-1,Santos,fortaleza,R35,Brasileirão 2019
2019-08-25,Santos,3-3,Fortaleza,santos,R16,Brasileirão 2019
2006-09-10,Fortaleza,1-1,Santos,Empate,R23,Brasileirão 2006
2006-05-06,Santos,2-0,Fortaleza,santos,R4,Brasileirão 2006
2005-10-01,Santos,0-0,Fortaleza,Empate,R29,Brasileirão 2005
2005-06-19,Fortaleza,0-0,Santos,Empate,R8,Brasileirão 2005
2003-08-30,Fortaleza,0-0,Santos,Empate,R29,Brasileirão 2003
2003-04-27,Santos,4-0,Fortaleza,santos,R6,Brasileirão 2003
1984-03-30,Fortaleza,1-4,Santos,Santos,K,Brasileirão 1984
1984-03-11,Santos,1-1,Fortaleza,Empate,K,Brasileirão 1984
1981-02-21,Fortaleza,1-2,Santos,Santos,D,Brasileirão 1981
