Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-05-23,Real Betis,1-1,Valencia,Empate,Campeonato Espanhol 2024/25,E
2024-11-23,Valencia,4-2,Real Betis,Valencia,Campeonato Espanhol 2024/25,D
2024-04-20,Valencia,1-2,Real Betis,Real Betis,Campeonato Espanhol 2023/24,D
2023-10-01,Real Betis,3-0,Valencia,Real Betis,Campeonato Espanhol 2023/24,V
2023-06-04,Real Betis,1-1,Valencia,Empate,Campeonato Espanhol 2022/23,E
2022-11-10,Valencia,3-0,Real Betis,Valencia,Campeonato Espanhol 2022/23,D
2022-05-10,Valencia,0-3,Real Betis,Real Betis,Campeonato Espanhol 2021/22,D
2022-04-23,Real Betis,1-1 (5-4 Pen.),Valencia,Real Betis,Copa del Rey 2021/22,V
2021-10-27,Real Betis,4-1,Valencia,Real Betis,Campeonato Espanhol 2021/22,V
2021-04-18,Real Betis,2-2,Valencia,Empate,Campeonato Espanhol 2020/21,E
2020-10-03,Valencia,0-2,Real Betis,Real Betis,Campeonato Espanhol 2020/21,D
2020-02-29,Valencia,2-1,Real Betis,Valencia,Campeonato Espanhol 2019/20,D
2019-11-23,Real Betis,2-1,Valencia,Real Betis,Campeonato Espanhol 2019/20,V
2019-04-21,Real Betis,1-2,Valencia,Valencia,La Liga 2018/19,D
2019-02-28,Valencia,1-0,Real Betis,Valencia,Copa del Rey 2018/19,D
2019-02-07,Real Betis,2-2,Valencia,Empate,Copa del Rey 2018/19,E
2018-09-15,Valencia,0-0,Real Betis,Empate,La Liga 2018/19,E
2018-03-04,Valencia,2-0,Real Betis,Valencia,La Liga 2017/18,D
2017-10-15,Real Betis,3-6,Valencia,Valencia,La Liga 2017/18,D
2017-02-11,Real Betis,0-0,Valencia,Empate,La Liga 2016/17,E
