Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-08-20,Juventude,2-0,Vasco,Juventude,Brasileirão 2025,V
2024-10-05,Vasco,1-1,Juventude,Empate,Brasileirão 2024,E
2024-06-19,Juventude,2-0,Vasco,Juventude,Brasileirão 2024,V
2009-11-07,Vasco,2-1,Juventude,Vasco,Série B 2009,V
2009-08-01,Juventude,1-2,Vasco,Vasco,Série B 2009,D
2007-10-03,Vasco,0-1,Juventude,Juventude,Brasileirão 2007,D
2007-07-07,Juventude,2-0,Vasco,Juventude,Brasileirão 2007,V
2006-11-11,Vasco,1-1,Juventude,Empate,Brasileirão 2006,E
2006-08-12,Juventude,0-0,Vasco,Empate,Brasileirão 2006,E
2005-09-11,Vasco,5-2,Juventude,Vasco,Brasileirão 2005,V
2005-05-15,Juventude,4-1,Vasco,Juventude,Brasileirão 2005,V
2004-11-28,Vasco,1-1,Juventude,Empate,Brasileirão 2004,E
2004-08-01,Juventude,1-1,Vasco,Empate,Brasileirão 2004,E
2003-10-08,Vasco,1-1,Juventude,Empate,Brasileirão 2003,E
2003-06-08,Juventude,0-0,Vasco,Empate,Brasileirão 2003,E
2002-09-01,Juventude,1-0,Vasco,Juventude,Brasileirão 2002,V
2001-08-11,Vasco,1-1,Juventude,Empate,Brasileirão 2001,E
2000-09-24,Juventude,1-2,Vasco,Vasco,Copa João Havelange 2000,D
1999-10-23,Juventude,2-1,Vasco,Juventude,Brasileirão 1999,V
1998-09-24,Vasco,1-1,Juventude,Empate,Brasileirão 1998,E

