Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2025-06-12,São Paulo,1-3,Vasco,Vasco,R12,Brasileirão 2025
2024-10-16,São Paulo,3-0,Vasco,São Paulo,R30,Brasileirão 2024
2024-06-22,Vasco,4-1,São Paulo,Vasco,R11,Brasileirão 2024
2023-10-07,Vasco,0-0,São Paulo,Empate,R26,Brasileirão 2023
2023-05-20,São Paulo,4-2,Vasco,São Paulo,R7,Brasileirão 2023
2021-08-04,Vasco,1-2,São Paulo,São Paulo,1/8,Copa do Brasil 2021
2021-07-28,São Paulo,2-0,Vasco,São Paulo,1/8,Copa do Brasil 2021
2020-11-22,São Paulo,1-1,Vasco,Empate,R22,Brasileirão 2020
2020-08-16,Vasco,2-1,São Paulo,Vasco,R3,Brasileirão 2020
2019-11-28,São Paulo,1-0,Vasco,São Paulo,R35,Brasileirão 2019
2019-08-25,Vasco,2-0,São Paulo,Vasco,R16,Brasileirão 2019
2018-11-22,Vasco,2-0,São Paulo,Vasco,R36,Brasileirão 2018
2018-08-05,São Paulo,2-1,Vasco,São Paulo,R17,Brasileirão 2018
2017-11-12,Vasco,1-1,São Paulo,Empate,R34,Brasileirão 2017
2017-07-19,São Paulo,1-0,Vasco,São Paulo,R15,Brasileirão 2017
2015-10-18,São Paulo,2-2,Vasco,Empate,R31,Brasileirão 2015
2015-09-30,Vasco,1-1,São Paulo,Empate,QF,Copa do Brasil 2015
2015-09-23,São Paulo,3-0,Vasco,São Paulo,QF,Copa do Brasil 2015
2015-07-08,Vasco,0-4,São Paulo,São Paulo,R12,Brasileirão 2015
2013-09-15,Vasco,0-2,São Paulo,São Paulo,R21,Brasileirão 2013
