Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-07-16,Botafogo,0-0,Vitória,Empate,Brasileirão 2025,E
2024-11-23,Botafogo,1-1,Vitória,Empate,Brasileirão 2024,E
2024-07-11,Vitória,0-1,Botafogo,Botafogo,Brasileirão 2024,D
2024-05-22,Vitória,1-2,Botafogo,Botafogo,Copa do Brasil 2024,D
2024-05-02,Botafogo,1-0,Vitória,Botafogo,Copa do Brasil 2024,V
2021-09-29,Vitória,0-0,Botafogo,Empate,Série B 2021,E
2021-06-30,Botafogo,1-0,Vitória,Botafogo,Série B 2021,V
2018-09-23,Vitória,3-4,Botafogo,Botafogo,Brasileirão 2018,D
2018-05-27,Botafogo,1-1,Vitória,Empate,Brasileirão 2018,E
2017-10-01,Botafogo,2-3,Vitória,Vitória,Brasileirão 2017,D
2017-06-14,Vitória,2-2,Botafogo,Empate,Brasileirão 2017,E
2016-09-18,Vitória,0-1,Botafogo,Botafogo,Brasileirão 2016,D
2016-06-12,Botafogo,1-1,Vitória,Empate,Brasileirão 2016,E
2015-09-05,Vitória,1-2,Botafogo,Botafogo,Série B 2015,D
2015-05-30,Botafogo,2-0,Vitória,Botafogo,Série B 2015,V
2014-10-04,Vitória,2-1,Botafogo,Vitória,Brasileirão 2014,V
2014-05-25,Botafogo,1-1,Vitória,Empate,Brasileirão 2014,E
2013-10-17,Vitória,1-0,Botafogo,Vitória,Brasileirão 2013,V
2013-08-01,Botafogo,2-0,Vitória,Botafogo,Brasileirão 2013,V
2012-05-09,Botafogo,1-2,Vitória,Vitória,Copa do Brasil 2012,D
