Time,Posição,Jogos,Gols Pró,Gols Contra,Média Gols Pró,Média Gols Contra,Over 2.5 %,BTTS Sim %,Clean Sheets %,Últimos 5 Jogos,Pontos Últimos 5,Jogos Casa,Aproveitamento Casa %,Gols Pró Casa,Gols Contra Casa,Jogos Fora,Aproveitamento Fora %,Gols Pró Fora,Gols Contra Fora,Fonte,Status
ESCOCIA,0,5,5,5,1.0,1.0,40.0,20.0,40.0,VDVVD,9,3,66.7,4,4,2,50.0,1,1,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
HUNGRIA,0,15,28,22,1.87,1.47,73.3,66.7,26.7,EEVEV,9,7,38.1,10,7,8,58.3,18,15,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
IRLANDA,0,15,22,28,1.47,1.87,73.3,66.7,26.7,EEDED,3,8,33.3,15,18,7,38.1,7,10,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
ALBANIA,0,7,1,21,0.14,3.0,42.9,14.3,0.0,DDDDD,0,3,0.0,1,7,4,0.0,0,14,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
INGLATERRA,0,10,0,0,2.2,0.8,60.0,50.0,50.0,VVEVV,11,3,100.0,7,1,4,50.0,5,4,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
SERVIA,0,10,0,0,1.4,1.3,40.0,70.0,20.0,VDEED,5,3,42.0,4,4,4,25.0,2,6,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
LETONIA,0,1,0,1,0.0,1.0,0.0,0.0,0.0,D,0,1,0.0,0,1,0,0.0,0,0,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
NORUEGA,0,16,14,18,0.88,1.12,50.0,50.0,31.2,DEVDD,4,7,52.4,7,6,9,18.5,7,12,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
UCRANIA,0,10,0,0,1.3,1.4,40.0,70.0,10.0,EDVDE,4,2,33.0,3,4,5,27.0,3,6,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
ISLANDIA,0,10,0,0,1.1,1.8,30.0,80.0,10.0,DEDDV,3,2,17.0,2,5,5,20.0,3,9,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
França,0,10,0,0,2.4,0.6,70.0,40.0,60.0,VVVEV,13,4,100.0,10,2,3,67.0,4,2,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
Espanha,0,10,0,0,2.0,0.7,60.0,40.0,60.0,VEVVV,10,3,83.0,6,2,4,58.0,4,3,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
Portugal,0,10,0,0,2.1,0.5,50.0,30.0,70.0,VVVVE,12,4,92.0,9,1,3,67.0,4,2,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
Alemanha,0,10,0,0,1.8,1.0,70.0,60.0,30.0,EVVDV,8,3,58.0,5,4,4,42.0,4,5,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
ITALIA,0,10,0,0,1.6,0.9,50.0,50.0,40.0,VVEDV,9,3,75.0,5,2,4,50.0,3,4,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
Holanda,0,10,0,0,1.9,0.8,60.0,50.0,50.0,VEVVE,10,3,75.0,6,2,4,58.0,4,4,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
Bélgica,0,10,0,0,1.7,1.1,60.0,60.0,30.0,EVDVV,7,3,67.0,5,3,4,42.0,3,5,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
Croácia,0,10,0,0,1.5,1.2,50.0,60.0,20.0,EDVEV,6,3,50.0,4,4,4,33.0,3,5,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
SUICA,0,10,0,0,1.6,0.8,50.0,40.0,50.0,VVEVD,9,3,75.0,5,2,4,50.0,3,4,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
SUECIA,0,10,0,0,1.3,1.2,40.0,60.0,30.0,EVDVE,6,3,50.0,4,4,4,33.0,3,5,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
ROMENIA,0,10,0,0,1.2,1.4,30.0,70.0,20.0,VDEDV,5,3,42.0,4,5,4,25.0,2,6,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
GRECIA,0,10,0,0,1.1,0.9,30.0,40.0,50.0,VEVDE,7,3,58.0,4,3,4,42.0,3,4,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
BOSNIA HERZEGOVINA,0,10,0,0,1.0,1.5,30.0,70.0,10.0,EDDVD,4,2,33.0,3,5,5,20.0,2,7,CSV Seleções Europeias 2025,Dados Completos - Posição a preencher
