Time,Posição,Jogos,Gols Pró,Gols Contra,Média Gols Pró,Média Gols Contra,Over 2.5 %,BTTS Sim %,Clean Sheets %,Últimos 5 Jogos,Pontos Últimos 5,Jogos Casa,Aproveitamento Casa %,Gols Pró Casa,Gols Contra Casa,Jogos Fora,Aproveitamento Fora %,Gols Pró Fora,Gols Contra Fora,Fonte,Status
ESCOCIA,0,5,5,5,1.0,1.0,40.0,20.0,40.0,VDVVD,9,3,66.7,4,4,2,50.0,1,1,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
HUNGRIA,0,15,28,22,1.87,1.47,73.3,66.7,26.7,EEVEV,9,7,38.1,10,7,8,58.3,18,15,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
IRLANDA,0,15,22,28,1.47,1.87,73.3,66.7,26.7,EEDED,3,8,33.3,15,18,7,38.1,7,10,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
ALBANIA,0,7,1,21,0.14,3.0,42.9,14.3,0.0,DDDDD,0,3,0.0,1,7,4,0.0,0,14,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
INGLATERRA,0,7,21,1,3.0,0.14,42.9,14.3,85.7,VVVVV,15,4,100.0,14,0,3,100.0,7,1,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
SERVIA,0,1,1,0,1.0,0.0,0.0,0.0,100.0,V,3,0,0.0,0,0,1,100.0,1,0,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
LETONIA,0,1,0,1,0.0,1.0,0.0,0.0,0.0,D,0,1,0.0,0,1,0,0.0,0,0,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
NORUEGA,0,16,14,18,0.88,1.12,50.0,50.0,31.2,DEVDD,4,7,52.4,7,6,9,18.5,7,12,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
UCRANIA,0,6,10,8,1.67,1.33,33.3,66.7,16.7,VDEVE,8,3,55.6,4,3,3,66.7,6,5,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
ISLANDIA,0,6,8,10,1.33,1.67,33.3,66.7,16.7,DVEDE,5,3,33.3,5,6,3,22.2,3,4,Calculado a partir de jogos históricos,Dados Parciais - Posição a preencher
