Posicao,Selecao,Valor_Mercado_Milhoes,Valor_Mercado_Texto,Continente,Confederacao
1,Inglaterra,1580.0,"€ 1.58 bilhão",Europa,UEFA
2,França,1450.0,"€ 1.45 bilhão",Europa,UEFA
3,Espanha,1420.0,"€ 1.42 bilhão",Europa,UEFA
4,Brasil,1050.0,"€ 1.05 bilhão",América do Sul,CONMEBOL
5,Portugal,980.0,"€ 980 milhões",Europa,UEFA
6,Alemanha,950.0,"€ 950 milhões",Europa,UEFA
7,Itália,860.0,"€ 860 milhões",Europa,UEFA
8,Holanda,830.0,"€ 830 milhões",Europa,UEFA
9,Argentina,820.0,"€ 820 milhões",América do Sul,CONMEBOL
10,Bélgica,550.0,"€ 550 milhões",Europa,UEFA
11,Estados Unidos,610.0,"€ 610 milhões",América do Norte,CONCACAF
12,Uruguai,580.0,"€ 580 milhões",América do Sul,CONMEBOL
13,Dinamarca,540.0,"€ 540 milhões",Europa,UEFA
14,Colômbia,520.0,"€ 520 milhões",América do Sul,CONMEBOL
15,Croácia,400.0,"€ 400 milhões",Europa,UEFA
16,Sérvia,480.0,"€ 480 milhões",Europa,UEFA
17,Japão,380.0,"€ 380 milhões",Ásia,AFC
18,Polônia,350.0,"€ 350 milhões",Europa,UEFA
19,Ucrânia,460.0,"€ 460 milhões",Europa,UEFA
20,Equador,420.0,"€ 420 milhões",América do Sul,CONMEBOL
21,Marrocos,370.0,"€ 370 milhões",África,CAF
22,Turquia,430.0,"€ 430 milhões",Europa,UEFA
23,Coreia do Sul,360.0,"€ 360 milhões",Ásia,AFC
24,Suíça,355.0,"€ 355 milhões",Europa,UEFA
25,México,340.0,"€ 340 milhões",América do Norte,CONCACAF
26,Áustria,330.0,"€ 330 milhões",Europa,UEFA
27,Escócia,320.0,"€ 320 milhões",Europa,UEFA
28,Camarões,310.0,"€ 310 milhões",África,CAF
29,Nigéria,300.0,"€ 300 milhões",África,CAF
30,Senegal,280.0,"€ 280 milhões",África,CAF
31,República Tcheca,270.0,"€ 270 milhões",Europa,UEFA
32,Hungria,260.0,"€ 260 milhões",Europa,UEFA
33,Gana,240.0,"€ 240 milhões",África,CAF
34,Costa do Marfim,230.0,"€ 230 milhões",África,CAF
35,País de Gales,210.0,"€ 210 milhões",Europa,UEFA
36,Romênia,190.0,"€ 190 milhões",Europa,UEFA
37,Argélia,185.0,"€ 185 milhões",África,CAF
38,Tunísia,170.0,"€ 170 milhões",África,CAF
39,Egito,160.0,"€ 160 milhões",África,CAF
40,Mali,150.0,"€ 150 milhões",África,CAF
41,Bósnia e Herzegovina,135.0,"€ 135 milhões",Europa,UEFA
42,Eslováquia,125.0,"€ 125 milhões",Europa,UEFA
43,Irlanda,110.0,"€ 110 milhões",Europa,UEFA
44,Burkina Faso,100.0,"€ 100 milhões",África,CAF
45,Islândia,85.0,"€ 85 milhões",Europa,UEFA
46,Noruega,75.0,"€ 75 milhões",Europa,UEFA
47,Eslovênia,60.0,"€ 60 milhões",Europa,UEFA
48,Suécia,50.0,"€ 50 milhões",Europa,UEFA
49,Grécia,40.0,"€ 40 milhões",Europa,UEFA
50,Finlândia,25.0,"€ 25 milhões",Europa,UEFA
51,Albânia,20.0,"€ 20 milhões",Europa,UEFA
52,Letônia,16.0,"€ 16 milhões",Europa,UEFA
53,Rússia,120.0,"€ 120 milhões",Europa,UEFA
