Posição,Clube,Plantel,Idade Média,Estrangeiros,Valor Médio,Valor Total,Posse Bola (%),Passes Certos,Chutes/Jogo
"1","Palmeiras","29","26.3","8","€ 7.32 mi.","€ 7.32 mi.","52.1%","340","4.7"
"2","Flamengo","31","28.4","10","€ 6.32 mi.","€ 6.32 mi.","62.2%","509","5.7"
"3","Botafogo","31","27.4","11","€ 4.46 mi.","€ 4.46 mi.","51.8%","403","4.9"
"4","Cruzeiro","31","26.6","6","€ 4.05 mi.","€ 4.05 mi.","46.9%","290","4.7"
"5","Corinthians","32","26.3","8","€ 3.45 mi.","€ 3.45 mi.","55.9%","414","3.6"
"6","Vasco da Gama","36","26.5","9","€ 3.00 mi.","€ 3.00 mi.","55.3%","429","5.0"
"7","Bahia","29","27.6","5","€ 3.50 mi.","€ 3.50 mi.","54.7%","403","4.1"
"8","Atlético-MG","32","26.8","6","€ 3.04 mi.","€ 3.04 mi.","54.6%","371","4.7"
"9","Fluminense","34","28.9","11","€ 2.77 mi.","€ 2.77 mi.","54.0%","420","3.6"
"10","RB Bragantino","36","25.1","8","€ 2.52 mi.","€ 2.52 mi.","46.8%","326","4.4"
"11","São Paulo","34","27.9","11","€ 2.64 mi.","€ 2.64 mi.","51.8%","373","3.8"
"12","Grêmio","38","27.7","12","€ 2.28 mi.","€ 2.28 mi.","44.6%","300","4.0"
"13","Internacional","29","27","9","€ 2.97 mi.","€ 2.97 mi.","51.7%","383","4.7"
"14","Santos","33","26.6","9","€ 2.51 mi.","€ 2.51 mi.","48.2%","327","3.4"
"15","Fortaleza","37","29.2","10","€ 1.28 mi.","€ 1.28 mi.","46.4%","310","4.0"
"16","Sport","31","29.1","6","€ 1.27 mi.","€ 1.27 mi.","47.2%","309","4.2"
"17","Vitória","34","28.2","6","€ 985 mil","€ 985 mil","43.5%","291","4.2"
"18","Ceará","32","29.2","3","€ 1.03 mi.","€ 1.03 mi.","41.4%","256","4.2"
"19","Juventude","36","28.1","5","€ 644 mil","€ 644 mil","43.4%","286","3.1"
"20","Mirassol","33","29.2","1","€ 683 mil","€ 683 mil","47.6%","335","4.8"
