Posição,Clube,Plantel,Idade Média,Estrangeiros,Valor_médio_jogador,Valor Total,Posse Bola (%),Passes Certos,Chutes/Jogo
1,Athletico-PR,33,26.5,10,"€ 1.17 mi","€ 38.6 mi",54.8%,356,11.2
2,Coritiba,30,27.8,5,"€ 892 mil","€ 26.8 mi",49.7%,302,8.9
3,América-MG,38,27.2,4,"€ 645 mil","€ 24.5 mi",47.2%,278,7.8
4,Cuiabá,31,26.4,3,"€ 712 mil","€ 22.1 mi",48.6%,294,8.3
5,Goiás,29,28.1,3,"€ 698 mil","€ 20.2 mi",44.9%,262,6.9
6,Atlético-GO,34,27.0,4,"€ 528 mil","€ 17.9 mi",46.8%,275,7.5
7,Novorizontino,30,28.7,1,"€ 565 mil","€ 17.0 mi",45.1%,265,7.0
8,Criciúma,31,26.2,1,"€ 512 mil","€ 15.9 mi",42.6%,241,6.2
9,Chapecoense,32,27.9,2,"€ 468 mil","€ 15.0 mi",39.4%,212,5.0
10,CRB,28,27.5,2,"€ 492 mil","€ 13.8 mi",43.8%,248,6.5
11,Avaí,32,27.8,2,"€ 412 mil","€ 13.2 mi",41.8%,232,5.9
12,Ponte Preta,35,27.3,3,"€ 358 mil","€ 12.5 mi",42.1%,235,6.1
13,Guarani,33,27.9,2,"€ 345 mil","€ 11.4 mi",40.9%,225,5.6
14,Operário-PR,30,28.2,1,"€ 368 mil","€ 11.0 mi",41.5%,228,5.8
15,Vila Nova,29,27.6,2,"€ 352 mil","€ 10.2 mi",40.2%,218,5.3
16,Volta Redonda,39,27.6,1,"€ 248 mil","€ 9.7 mi",55.0%,225,4.9
17,Londrina,34,28.3,1,"€ 285 mil","€ 9.7 mi",39.8%,215,5.2
18,Ituano,28,29.1,0,"€ 312 mil","€ 8.7 mi",38.7%,205,4.7
19,Brusque,30,28.7,1,"€ 278 mil","€ 8.3 mi",39.1%,208,4.9
20,Ferroviária,33,27.5,0,"€ 215 mil","€ 7.1 mi",39.1%,208,4.9
21,Botafogo-SP,32,28.5,1,"€ 245 mil","€ 7.8 mi",40.3%,221,5.4
22,Amazonas,31,27.8,2,"€ 232 mil","€ 7.2 mi",41.2%,230,5.7
