Posição,Clube,País,Valor_Mercado_Euros
1,Real Madrid,Espanha,"€ 1.24 bi"
2,Manchester City,Inglaterra,"€ 1.53 bi"
3,Arsenal,Inglaterra,"€ 1.32 bi"
4,Paris Saint-Germain,França,"€ 1.19 bi"
5,Chelsea,Inglaterra,"€ 1.14 bi"
6,Bayern Munich,Alemanha,"€ 1.12 bi"
7,Barcelona,Espanha,"€ 1.18 bi"
8,Liverpool,Inglaterra,"€ 1.01 bi"
9,Tottenham,Inglaterra,"€ 948 mi"
10,Manchester United,Inglaterra,"€ 937 mi"
11,Newcastle,Inglaterra,"€ 831 mi"
12,Aston Villa,Inglaterra,"€ 789 mi"
13,Bayer Leverkusen,Alemanha,"€ 783 mi"
14,Inter Milan,Itália,"€ 671 mi"
15,Atletico Madrid,Espanha,"€ 568 mi"
16,Brighton,Inglaterra,"€ 548 mi"
17,Napoli,Itália,"€ 546 mi"
18,West Ham,Inglaterra,"€ 542 mi"
19,RB Leipzig,Alemanha,"€ 536 mi"
20,Milan,Itália,"€ 534 mi"
21,Crystal Palace,Inglaterra,"€ 523 mi"
22,Borussia Dortmund,Alemanha,"€ 516 mi"
23,Fulham,Inglaterra,"€ 458 mi"
24,Wolverhampton,Inglaterra,"€ 456 mi"
25,Nottingham Forest,Inglaterra,"€ 454 mi"
26,Everton,Inglaterra,"€ 448 mi"
27,Brentford,Inglaterra,"€ 443 mi"
28,Bournemouth,Inglaterra,"€ 441 mi"
29,Monaco,França,"€ 438 mi"
30,Real Sociedad,Espanha,"€ 429 mi"
31,Sevilla,Espanha,"€ 425 mi"
32,Roma,Itália,"€ 418 mi"
33,Ajax,Holanda,"€ 416 mi"
34,Lazio,Itália,"€ 412 mi"
35,Valencia,Espanha,"€ 408 mi"
36,Benfica,Portugal,"€ 405 mi"
37,Olympique Marseille,França,"€ 401 mi"
38,Wolfsburg,Alemanha,"€ 398 mi"
39,Athletic Bilbao,Espanha,"€ 395 mi"
40,Fiorentina,Itália,"€ 392 mi"
41,Porto,Portugal,"€ 389 mi"
42,Eintracht Frankfurt,Alemanha,"€ 386 mi"
43,Atalanta,Itália,"€ 383 mi"
44,Real Betis,Espanha,"€ 380 mi"
45,West Ham,Inglaterra,"€ 377 mi"
46,Villarreal,Espanha,"€ 374 mi"
47,Leicester City,Inglaterra,"€ 371 mi"
48,Leeds United,Inglaterra,"€ 368 mi"
49,Burnley,Inglaterra,"€ 365 mi"
50,Sheffield United,Inglaterra,"€ 362 mi"
51,Luton Town,Inglaterra,"€ 359 mi"
52,Southampton,Inglaterra,"€ 356 mi"
53,Stuttgart,Alemanha,"€ 353 mi"
54,Freiburg,Alemanha,"€ 350 mi"
55,Hoffenheim,Alemanha,"€ 347 mi"
56,Borussia Mönchengladbach,Alemanha,"€ 344 mi"
57,Mainz 05,Alemanha,"€ 341 mi"
58,Augsburg,Alemanha,"€ 338 mi"
59,Werder Bremen,Alemanha,"€ 335 mi"
60,Union Berlin,Alemanha,"€ 332 mi"
61,Girona,Espanha,"€ 329 mi"
62,Celta Vigo,Espanha,"€ 326 mi"
63,Getafe,Espanha,"€ 323 mi"
64,Osasuna,Espanha,"€ 320 mi"
65,Rayo Vallecano,Espanha,"€ 317 mi"
66,Mallorca,Espanha,"€ 314 mi"
67,Granada,Espanha,"€ 311 mi"
68,Alavés,Espanha,"€ 308 mi"
69,Cádiz,Espanha,"€ 305 mi"
70,Las Palmas,Espanha,"€ 302 mi"
71,Almería,Espanha,"€ 299 mi"
72,Valladolid,Espanha,"€ 296 mi"
73,Espanyol,Espanha,"€ 293 mi"
74,Leganés,Espanha,"€ 290 mi"
75,Málaga,Espanha,"€ 287 mi"
76,Oviedo,Espanha,"€ 284 mi"
77,Zaragoza,Espanha,"€ 281 mi"
78,Girona,Espanha,"€ 278 mi"
79,Tenerife,Espanha,"€ 275 mi"
80,Cartagena,Espanha,"€ 272 mi"
81,Burgos,Espanha,"€ 269 mi"
82,Albacete,Espanha,"€ 266 mi"
83,Huesca,Espanha,"€ 263 mi"
84,Mirandés,Espanha,"€ 260 mi"
85,Lugo,Espanha,"€ 257 mi"
86,Ponferradina,Espanha,"€ 254 mi"
87,Fuenlabrada,Espanha,"€ 251 mi"
88,Sporting Gijón,Espanha,"€ 248 mi"
89,Racing Santander,Espanha,"€ 245 mi"
90,Amorebieta,Espanha,"€ 242 mi"
91,Alcorcón,Espanha,"€ 239 mi"
92,Leonesa,Espanha,"€ 236 mi"
93,Castellón,Espanha,"€ 233 mi"
94,San Sebastián,Espanha,"€ 230 mi"
95,Extremadura,Espanha,"€ 227 mi"
96,Linares,Espanha,"€ 224 mi"
97,Melilla,Espanha,"€ 221 mi"
98,Atlético Baleares,Espanha,"€ 218 mi"
99,Unionistas,Espanha,"€ 215 mi"
100,Cacereño,Espanha,"€ 212 mi"
