Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Ama,Pontos_Ganhos,Pontos_Acumulados
03/10/2025,Ath,2,2,Ama,Sao Joao del Rei - MG,Empate,1,1
29/09/2025,Ama,1,3,Cha,Manaus - AM,Derrota,0,1
24/09/2025,Ope,2,1,Ama,Ponta Grossa - PR,Derrota,0,1
20/09/2025,Ama,1,0,Vol,Manaus - AM,Vitória,3,4
15/09/2025,Crb,2,0,Ama,Maceio - AL,Derrota,0,4
05/09/2025,Ama,1,3,Rem,Manaus - AM,Derrota,0,4
31/08/2025,Atl,2,0,Ama,Goiania - GO,Derrota,0,4
25/08/2025,Ava,1,2,Ama,Florianopolis - SC,Vitória,3,7
15/08/2025,Ama,2,2,Ame,Manaus - AM,Empate,1,8
08/08/2025,Fer,2,1,Ama,Araraquara - SP,Derrota,0,8
02/08/2025,Ama,2,2,Goi,Manaus - AM,Empate,1,9
27/07/2025,Cor,1,1,Ama,Curitiba - PR,Empate,1,10
23/07/2025,Ama,1,1,Pay,Manaus - AM,Empate,1,11
20/07/2025,Ama,3,0,Bot,Manaus - AM,Vitória,3,14
15/07/2025,Cui,3,1,Ama,Cuiaba - MT,Derrota,0,14
05/07/2025,Ama,0,1,Ath,Manaus - AM,Derrota,0,14
29/06/2025,Gre,1,1,Ama,Novo Horizonte - SP,Empate,1,15
22/06/2025,Ama,2,1,Vil,Manaus - AM,Vitória,3,18
15/06/2025,Cri,3,2,Ama,Criciuma - SC,Derrota,0,18
09/06/2025,Ama,1,0,Ath,Manaus - AM,Vitória,3,21
02/06/2025,Cha,4,0,Ama,Chapeco - SC,Derrota,0,21
25/05/2025,Ama,2,0,Ope,Manaus - AM,Vitória,3,24
19/05/2025,Vol,1,1,Ama,Volta Redonda - RJ,Empate,1,25
12/05/2025,Ama,1,1,Crb,Manaus - AM,Empate,1,26
03/05/2025,Rem,1,0,Ama,Belem - PA,Derrota,0,26
27/04/2025,Ama,1,1,Atl,Manaus - AM,Empate,1,27
21/04/2025,Ama,0,2,Ava,Manaus - AM,Derrota,0,27
17/04/2025,Ame,3,1,Ama,Belo Horizonte - MG,Derrota,0,27
12/04/2025,Ama,0,0,Fer,Manaus - AM,Empate,1,28
04/04/2025,Goi,1,0,Ama,Goiania - GO,Derrota,0,28
