Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Ame,Pontos_Ganhos,Pontos_Acumulados
29/09/2025,Ame,2,1,Vol,Belo Horizonte - MG,Vitória,3,3
25/09/2025,Atl,1,0,Ame,Goiania - GO,Derrota,0,3
21/09/2025,Ame,1,0,Cor,Belo Horizonte - MG,Vitória,3,6
13/09/2025,Pay,0,0,Ame,Belem - PA,Empate,1,7
07/09/2025,Ame,1,1,Ope,Belo Horizonte - MG,Empate,1,8
02/09/2025,Ame,2,0,Ava,Belo Horizonte - MG,Vitória,3,11
23/08/2025,Goi,1,0,Ame,Goiania - GO,Derrota,0,11
15/08/2025,Ama,2,2,Ame,Manaus - AM,Empate,1,12
09/08/2025,Ame,0,1,Rem,Belo Horizonte - MG,Derrota,0,12
02/08/2025,Bot,2,1,Ame,Ribeirao Preto - SP,Derrota,0,12
27/07/2025,Ame,2,2,Ath,Belo Horizonte - MG,Empate,1,13
23/07/2025,Cui,3,1,Ame,Cuiaba - MT,Derrota,0,13
20/07/2025,Ame,0,1,Cha,Belo Horizonte - MG,Derrota,0,13
12/07/2025,Gre,3,1,Ame,Novo Horizonte - SP,Derrota,0,13
07/07/2025,Ame,0,1,Ath,Belo Horizonte - MG,Derrota,0,13
26/06/2025,Crb,1,2,Ame,Maceio - AL,Vitória,3,16
20/06/2025,Ame,1,1,Cri,Belo Horizonte - MG,Empate,1,17
13/06/2025,Vil,0,3,Ame,Goiania - GO,Vitória,3,20
07/06/2025,Ame,1,2,Fer,Belo Horizonte - MG,Derrota,0,20
01/06/2025,Vol,1,0,Ame,Volta Redonda - RJ,Derrota,0,20
27/05/2025,Ame,2,1,Atl,Belo Horizonte - MG,Vitória,3,23
19/05/2025,Cor,1,0,Ame,Curitiba - PR,Derrota,0,23
14/05/2025,Ame,2,2,Pay,Belo Horizonte - MG,Empate,1,24
04/05/2025,Ope,1,0,Ame,Ponta Grossa - PR,Derrota,0,24
26/04/2025,Ava,3,0,Ame,Florianopolis - SC,Derrota,0,24
20/04/2025,Ame,1,0,Goi,Belo Horizonte - MG,Vitória,3,27
17/04/2025,Ame,3,1,Ama,Belo Horizonte - MG,Vitória,3,30
13/04/2025,Rem,2,0,Ame,Belem - PA,Derrota,0,30
05/04/2025,Ame,1,0,Bot,Belo Horizonte - MG,Vitória,3,33
