Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Atl,Pontos_Ganhos,Pontos_Acumulados
4/10/2025,Flu,3,0,Atl,Maracana,Derrota,0,22
30/09/2025,Atl,0,0,Juv,ARENA MRV,Empate,1,22
27/09/2025,Atl,1,0,Mir,ARENA MRV,Vitoria,3,21
20/09/2025,Bot,1,0,Atl,Nilton Santos,Derrota,0,18
14/09/2025,Atl,1,1,San,ARENA MRV,Empate,1,18
31/08/2025,Vit,1,0,Atl,Manoel Barradas,Derrota,0,17
24/08/2025,Sao,2,0,Atl,Morumbi,Derrota,0,17
17/08/2025,Atl,1,3,Gre,ARENA MRV,Derrota,0,17
10/08/2025,Vas,1,1,Atl,Sao Januario,Empate,1,17
3/08/2025,Atl,2,1,Red,ARENA MRV,Vitoria,3,16
27/07/2025,Fla,1,0,Atl,Maracana,Derrota,0,13
20/07/2025,Pal,3,2,Atl,Allianz Parque,Derrota,0,13
12/07/2025,Bah,2,1,Atl,Arena Fonte Nova,Derrota,0,13
12/06/2025,Atl,2,0,Int,ARENA MRV,Vitoria,3,13
1/06/2025,Cea,0,1,Atl,Arena Castelao,Vitoria,3,10
24/05/2025,Atl,0,0,Cor,ARENA MRV,Empate,1,7
18/05/2025,Cru,0,0,Atl,Mineirao,Empate,1,6
11/05/2025,Atl,3,2,Flu,ARENA MRV,Vitoria,3,5
5/05/2025,Juv,0,1,Atl,Alfredo Jaconi,Vitoria,3,2
26/04/2025,Mir,2,2,Atl,Jose Maria de Campos Maia,Empate,1,-1
20/04/2025,Atl,1,0,Bot,Mineirao,Vitoria,3,-2
16/04/2025,San,2,0,Atl,Vila Belmiro,Derrota,0,-5
13/04/2025,Atl,2,2,Vit,Mineirao,Empate,1,-5
6/04/2025,Atl,0,0,Sao,Mineirao,Empate,1,-6
29/03/2025,Gre,2,1,Atl,Arena do Gremio,Derrota,0,-7
