Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
19/10/2025,Cor,2,0,Ath-pr,Curitiba - PR,Empate,1,50
14/10/2025,Ath-pr,1,1,Ava,Curitiba - PR,Empate,1,49
8/10/2025,Rem,1,1,Ath-pr,Belem - PA,Derrota,0,49
5/10/2025,Atl,3,0,Ath-pr,Goiania - GO,Derrota,0,48
27/09/2025,Ath-pr,1,0,Ope,Curitiba - PR,Vitoria,3,48
24/09/2025,Ath-mg,0,3,Ath-pr,Sao Joao del Rei - MG,Vitoria,3,45
21/09/2025,Ath-pr,2,0,Vil,Curitiba - PR,Vitoria,3,42
16/09/2025,Cha,2,3,Ath-pr,Chapeco - SC,Vitoria,3,39
6/9/2025,Bot,1,3,Ath-pr,Ribeirao Preto - SP,Vitoria,3,36
30/08/2025,Ath-pr,2,1,Gre,Curitiba - PR,Vitoria,3,33
23/08/2025,Crb,0,1,Ath-pr,Maceio - AL,Vitoria,3,30
16/08/2025,Ath-pr,1,1,Cui,Curitiba - PR,Empate,1,27
11/8/2025,Cri,4,2,Ath-pr,Criciuma - SC,Derrota,0,26
3/8/2025,Ath-pr,1,1,Pay,Curitiba - PR,Empate,1,26
27/07/2025,Ame,2,2,Ath-pr,Belo Horizonte - MG,Empate,1,25
22/07/2025,Ath-pr,1,1,Fer,Curitiba - PR,Empate,1,24
19/07/2025,Vol,3,2,Ath-pr,Volta Redonda - RJ,Derrota,0,23
12/7/2025,Ath-pr,0,1,Goi,Curitiba - PR,Derrota,0,23
5/7/2025,Ama,0,1,Ath-pr,Manaus - AM,Vitoria,3,23
28/06/2025,Ath-pr,0,1,Cor,Curitiba - PR,Derrota,0,20
21/06/2025,Ava,1,2,Ath-pr,Florianopolis - SC,Vitoria,3,20
14/06/2025,Ath-pr,2,1,Rem,Curitiba - PR,Vitoria,3,17
8/6/2025,Ath-pr,0,1,Atl,Curitiba - PR,Derrota,0,14
1/6/2025,Ope,2,2,Ath-pr,Ponta Grossa - PR,Empate,1,14
24/05/2025,Ath-pr,1,0,Ath-mg,Curitiba - PR,Vitoria,3,13
17/05/2025,Vil,2,1,Ath-pr,Goiania - GO,Derrota,0,10
8/5/2025,Ath-pr,1,1,Cha,Curitiba - PR,Empate,1,10
4/5/2025,Ath-pr,1,4,Bot,Curitiba - PR,Derrota,0,9
24/04/2025,Gre,2,1,Ath-pr,Novo Horizonte - SP,Derrota,0,9
20/04/2025,Ath-pr,2,0,Crb,Curitiba - PR,Vitoria,3,9
15/04/2025,Cui,2,1,Ath-pr,Cuiaba - MT,Derrota,0,6
10/4/2025,Ath-pr,2,1,Cri,Curitiba - PR,Vitoria,3,6
4/4/2025,Pay,1,2,Ath-pr,Belem - PA,Vitoria,3,3
